Unnamed: 0,created_at,default_profile,description,favourites_count,followers_count,friends_count,id,location,screen_name,statuses_count,verified,account_age_days,account_type
0,2016-10-15 21:32:11,False,"Blame @xaiax, Inspired by @MakingInvisible, using cmu phonetic data to produce incongruous matches.
Some images via Lorem Flickr.",4,1589,4,787405734442958848,unknown,best_in_dumbest,11041,False,1403,bot
1,2016-11-09 05:01:30,False,"Photographing the American West since 1980. I specialize in location portraits & events, both indoors & outside, using natural light & portable studio lighting.",536,860,880,796216118331310080,Estados Unidos,CJRubinPhoto,252,False,1379,human
2,2017-06-17 05:34:27,False,"Scruffy looking nerf herder and @twitch broadcaster

Contact 📬 svgegent@gmail.com",3307,172,594,875949740503859204,"Los Angeles, CA",SVGEGENT,1001,False,1159,human
3,2016-07-21 13:32:25,True,"Wife.Godmother.Friend.Feline Fanatic! Assistant Principal, Vestavia Hills Elementary Liberty Park",8433,517,633,756119643622735875,"Birmingham, AL",TinkerVHELPK5,1324,False,1489,human
4,2012-01-15 16:32:35,False,Loan coach at @mancity & Aspiring DJ,88,753678,116,464781334,"England, United Kingdom",JoleonLescott,4202,True,3138,human
5,2016-11-21 22:50:30,True,لا إله إلا الله . فعل التنبيهات 🌷🎖عادل ...حسابي الآخر @__o0h,237,27394,542,800833795234611200,مكة المكرمة,Ayat_140,11513,False,1366,bot
6,2009-07-08 22:22:59,False,"Co-Host of @TheTalkCBS, Judge on @DancingABC, Founder https://t.co/qYbW5GlP0C, Dancer, Choreographer, Animal rescuer/lover. Instagram: @CarrieAnnInaba",5522,291529,1581,55050269,Los Angeles,carrieanninaba,14535,True,4059,human
7,2012-09-07 20:01:33,False,Internationally-acclaimed Egyptian Singer.,756,6909959,40,809500704,unknown,sherine,1223,True,2902,human
8,2012-12-16 11:43:24,True,,64,24,0,1015021614,unknown,cordensmaureen,277,False,2802,human
9,2012-02-14 15:33:48,False,"Man Utd fan. mostly here for football. Takes photos. Ex care worker, does stuff with computers often sarcastic. 🐝🇬🇧🇪🇺",36384,2130,3363,492306486,United Kingdom,GhamGraham,63376,False,3108,human
10,2011-12-09 14:11:56,False,"Stay hungry, Stay foolish.",127,32,0,432537664,in the clouds.,jainabdulaziz,921,False,3175,human
11,2014-06-21 00:14:06,False,micropoetry bot ¶ license: https://t.co/vuvanDSlgC ¶ also on mastodon: https://t.co/Xy5L4acJva,0,26675,26,2579497028,unknown,poem_exe,24087,False,2251,bot
12,2009-01-28 16:41:51,False,Fashion and style news(+occasional sport) from  Hilary Alexander,16614,262121,643,19660870,"London, New York, Paris, Milan",HilaryAlexander,36392,True,4220,human
