,default_profile,favourites_count,followers_count,friends_count,location,statuses_count,verified,account_age_days,account_type,ratio_statuses_count_per_age,ratio_favorites_per_age,ratio_friends_per_followers,word_count,char_count,reputation,contains_bot_name,description_word_count,description_character_count,avg_word
0,True,2169,0,111,True,2195,False,2875,bot,0.7634782608695653,0.7544347826086957,2.303236456121974,18,102,0.0,False,18,85,4.722222222222222
1,True,54,6,65,True,11,False,4014,bot,0.0027404085700049826,0.013452914798206279,10.833333333333334,8,54,0.08450704225352113,False,8,47,5.875
2,False,34328,1132,468,True,28628,False,2988,human,9.5809906291834,11.488621151271754,0.4134275618374558,10,54,0.7075,False,10,45,4.5
3,False,6737,83,382,True,13023,False,2277,human,5.719367588932807,2.958717610891524,4.602409638554217,1,21,0.17849462365591398,False,2,20,10.0
4,False,13498,4397,198,True,15257,False,3036,human,5.02536231884058,4.445981554677207,0.04503070275187628,19,157,0.9569096844396082,False,19,139,7.315789473684211
5,True,67,701861,554,True,3841,True,3472,human,1.106278801843318,0.019297235023041474,0.0007893300810274399,2,13,0.9992112924695514,False,2,12,6.0
6,True,12,204,34,True,3936,False,2407,bot,1.6352305774823432,0.004985459077690071,0.16666666666666666,16,84,0.8571428571428571,False,15,69,4.6
7,False,10083,85,60,True,22319,False,2821,human,7.91173342786246,3.574264445232187,0.7058823529411765,21,135,0.5862068965517241,False,21,115,5.476190476190476
8,False,49058,1950090,1574,True,81833,True,3360,human,24.355059523809523,14.600595238095238,0.0008071422344609736,1,4,0.9991935087187139,False,1,4,4.0
9,True,156,7,0,True,32,False,2793,bot,0.011457214464733263,0.055853920515574654,0.0,5,40,1.0,False,5,36,7.2
10,False,25377,4088832,193,True,69836,True,3185,human,21.926530612244896,7.967660910518053,4.720174367643376e-05,24,138,0.999952800484223,False,24,115,4.791666666666667
11,True,407,4,0,True,81,False,3482,bot,0.023262492820218264,0.11688684663986215,0.0,8,57,1.0,False,8,50,6.25
12,False,1352,392,307,True,25141,False,2942,human,8.545547246770903,0.45955132562882395,0.7831632653061225,10,61,0.5608011444921316,False,10,52,5.2
13,False,3987,2215772,754,True,11538,True,3114,human,3.7052023121387285,1.2803468208092486,0.00034028771913355705,1,23,0.9996598280372078,False,1,23,23.0
14,False,120,374,475,True,13191,False,4085,human,3.2291309669522645,0.02937576499388005,1.2700534759358288,22,107,0.44051825677267376,False,22,86,3.909090909090909
15,False,2265,116,10,True,7125,False,3113,bot,2.2887889495663347,0.7275939608095086,0.08620689655172414,8,46,0.9206349206349206,False,8,39,4.875
16,False,3419,1255595,681,True,12756,True,3593,human,3.5502365711104926,0.9515725020873922,0.0005423723413998941,8,88,0.9994579216668948,False,8,81,10.125
17,True,49324,297,641,True,9226,False,3855,human,2.39325551232166,12.794811932555124,2.1582491582491583,12,108,0.31663113006396587,False,12,97,8.083333333333334
18,False,201,15,0,True,69,False,3328,bot,0.020733173076923076,0.060396634615384616,0.0,5,39,1.0,False,5,35,7.0
19,True,31,66627,4231,True,8347,False,2556,human,3.2656494522691704,0.012128325508607199,0.06350278415657316,9,45,0.9402890287617488,False,9,37,4.111111111111111
20,True,122400,687,1822,True,31285,False,2590,human,12.079150579150578,47.25868725868726,2.6521106259097524,7,37,0.27381426863292146,False,7,31,4.428571428571429
21,False,24525,519,406,True,70022,False,4065,human,17.22558425584256,6.033210332103321,0.7822736030828517,7,31,0.5610810810810811,False,7,25,3.5714285714285716
22,True,857,127,149,True,1907,False,1896,human,1.005801687763713,0.4520042194092827,1.1732283464566928,26,159,0.4601449275362319,False,26,134,5.153846153846154
23,True,9844,47,198,True,7437,False,2398,bot,3.1013344453711427,4.105087572977482,4.212765957446808,1,1,0.19183673469387755,False,1,1,1.0
24,True,231,12,0,True,39,False,3511,bot,0.011107946454001708,0.06579322130447166,0.0,5,38,1.0,False,5,34,6.8
25,False,328,4478,267,True,4077,True,1586,human,2.5706179066834807,0.2068095838587642,0.05962483251451541,9,75,0.9437302423603794,False,9,67,7.444444444444445
26,True,17829,226,220,True,4886,False,3058,human,1.5977763243950294,5.830281229561805,0.9734513274336283,5,17,0.5067264573991032,False,5,13,2.6
27,True,101,0,0,True,135,False,1091,human,0.12373968835930339,0.0925756186984418,2.303236456121974,3,18,0.0,False,3,16,5.333333333333333
28,False,3109,105,460,True,2911,False,2237,human,1.3012963790791239,1.3898077782744747,4.380952380952381,1,3,0.18584070796460178,False,1,3,3.0
29,False,8654,352,373,True,3074,False,4179,human,0.7355826752811677,2.070830342187126,1.0596590909090908,8,40,0.48551724137931035,False,8,33,4.125
30,False,2015,207,546,True,5396,False,4256,human,1.2678571428571428,0.47344924812030076,2.63768115942029,10,58,0.2749003984063745,False,10,49,4.9
31,False,66871,1570,1515,True,31970,False,3751,human,8.523060517195415,17.827512663289788,0.964968152866242,22,118,0.5089141004862237,False,22,97,4.409090909090909
32,True,36,0,0,True,288,False,1155,bot,0.24935064935064935,0.03116883116883117,2.303236456121974,1,8,0.0,False,1,8,8.0
33,True,5918,70,88,True,10770,False,1433,human,7.515701325889742,4.129797627355199,1.2571428571428571,13,115,0.4430379746835443,False,22,93,4.2272727272727275
34,False,3739,87434,628,True,9732,False,3828,human,2.542319749216301,0.9767502612330199,0.007182560559965231,14,75,0.9928686607163135,False,14,62,4.428571428571429
35,True,185,2399,81,True,441,False,3235,human,0.13632148377125194,0.0571870170015456,0.033764068361817424,11,101,0.9673387096774193,False,11,91,8.272727272727273
36,False,540,19,0,True,768,False,4018,bot,0.1911398705823793,0.13439522150323543,0.0,1,1,1.0,False,1,1,1.0
37,True,158698,84024,82109,True,143079,False,3159,human,45.29249762583096,50.236783792339345,0.9772088926973246,21,151,0.5057634545815702,False,20,131,6.55
38,False,2071,838398,21149,True,25481,True,3932,human,6.480417090539166,0.5267039674465921,0.025225489564622054,3,13,0.9753951790885199,False,3,11,3.6666666666666665
39,False,4035,417,424,True,4919,False,3033,human,1.6218265743488296,1.3303659742828882,1.0167865707434052,10,49,0.4958382877526754,False,10,40,4.0
40,True,37,30,0,True,288,False,1272,bot,0.22641509433962265,0.02908805031446541,0.0,16,111,1.0,False,16,96,6.0
