,id,username,text,retweet_count,like_count,created_at
0,1624262523578089473,jek___,dah lah 😭 https://t.co/JGm6rwwLxr https://t.co/GsyFS72BU0,112,1982,2023-02-11 04:22:17+00:00
1,1624252777882071041,jek___,a,19,255,2023-02-11 03:43:34+00:00
2,1624252368668983297,jek___,"tu reflek mendoakan kita dalam hatinya dan bisa jadi pada saat itu pas tiba waktunya doanya diijabah

setiap kebaik… https://t.co/jlBex4uJKo",55,610,2023-02-11 03:41:56+00:00
3,1624251826114805761,jek___,belajar sedekah kecil2an dulu kalo belum bisa banyak. kembalian 500 perak dikasih aja kalo belanjanya di warung kec… https://t.co/pRdwVdJPhI,288,1816,2023-02-11 03:39:47+00:00
4,1624039358025326592,jek___,https://t.co/ncJz4m1OVA,8,121,2023-02-10 13:35:30+00:00
5,1624002079642746880,jek___,@ardibhironx masih mikir2 ronk :( https://t.co/ONzOEJrzWE,0,1,2023-02-10 11:07:22+00:00
6,1623975462270812160,jek___,@Slmnabd__ ........,0,1,2023-02-10 09:21:36+00:00
7,1623930268515192832,jek___,@Androngehe .............,1,20,2023-02-10 06:22:01+00:00
8,1623929838808748036,jek___,@AK47People ITU BOKAP ANAK YANG LU SENTIL MNYEDDD,3,87,2023-02-10 06:20:19+00:00
9,1623929191925440515,jek___,"RT @iwas_hw: @jek___ #ceritajumatan buru² tadi pas sampe masjid udah mulai dpt saf terakhir ubin agak debuan gitu,ga bawa sajadah pula,yaud…",51,0,2023-02-10 06:17:45+00:00
10,1623929181150257152,jek___,@iwas_hw lu ngambil keset anjjj,2,106,2023-02-10 06:17:42+00:00
11,1623928863960203264,jek___,@adiiisptr_ bisa. su,0,17,2023-02-10 06:16:26+00:00
12,1623928766551715840,jek___,@notaniceboy sabet nih,0,17,2023-02-10 06:16:03+00:00
13,1623928288778555393,jek___,"RT @Ariedwart: @jek___ #ceritajumatan

tad sebel banget kenapa ya orang2 tadi pas gue datang malah kompak keluar masjid? sampe segitunya cu…",40,0,2023-02-10 06:14:09+00:00
14,1623928269077901313,jek___,@Ariedwart UDAH BUBAR JUMATAN ITU SETAN LU YA,2,153,2023-02-10 06:14:05+00:00
15,1623927762263355393,jek___,@amarserius :),0,16,2023-02-10 06:12:04+00:00
16,1623926115378266113,jek___,@Tedhy1908 baru juga mulai satttt,1,60,2023-02-10 06:05:31+00:00
17,1623925018420985856,jek___,#ceritajumatan,78,932,2023-02-10 06:01:10+00:00
18,1623885445833834496,jek___,@Bola_Boris santai ga takut keliatan si cahyadi gi kriput,0,0,2023-02-10 03:23:55+00:00
19,1623885228602454017,jek___,@parbellak_ pernah sekali trus dihadiahin sabetan tiang umbul2,0,5,2023-02-10 03:23:03+00:00
20,1623885069957079041,jek___,@biputtt alo kak,0,0,2023-02-10 03:22:25+00:00
21,1623885039951056896,jek___,@namakudava dikata mau perang suku kali y,0,0,2023-02-10 03:22:18+00:00
22,1623884832911822848,jek___,@sozealita persis,0,6,2023-02-10 03:21:29+00:00
23,1623884694688505857,jek___,@AXISgsm ngeluarin percikan api,0,4,2023-02-10 03:20:56+00:00
24,1623884607983857666,jek___,@aidassii des rait,0,0,2023-02-10 03:20:35+00:00
25,1623884536135438336,jek___,@Zulfamuu gpp bisa disimpul pita,0,2,2023-02-10 03:20:18+00:00
26,1623884470783995905,jek___,@medyafr___ sweet,0,1,2023-02-10 03:20:02+00:00
27,1623884414462869504,jek___,@fry_chese slengky kena angin dikit ena adem kek gerimis subuh2,0,1,2023-02-10 03:19:49+00:00
28,1623884193934761986,jek___,@mfthazm warga hanya ingin menikmati kemolekan tubuhku,0,15,2023-02-10 03:18:56+00:00
29,1623884032063983617,jek___,@MahardikaSW iya sambil mainin selang damkar,0,0,2023-02-10 03:18:18+00:00
30,1623883935662096385,jek___,@ayusriraha_ mere pyare thumpse pyar hotahe,0,9,2023-02-10 03:17:55+00:00
31,1623727219955896320,jek___,"nikmatnya punya rumah sendiri setelah menikah tuh kerasa banget kalo lagi kebelet mau berak, sambil lari2 kecil uda… https://t.co/mDSkVk4bXb",201,1944,2023-02-09 16:55:11+00:00
32,1623680685742624770,jek___,@zhilannz dah lah,0,1,2023-02-09 13:50:16+00:00
33,1623680619447480322,jek___,@ItuKutil plin plan lu ah,0,1,2023-02-09 13:50:00+00:00
34,1623680514715713536,jek___,@papadanbayi this ini maunya terkenal di langit,0,2,2023-02-09 13:49:35+00:00
35,1623680381148082176,jek___,@Nitt277 diyam,0,1,2023-02-09 13:49:04+00:00
36,1623620419814318081,jek___,@Hilmi28 kenapa analoginya harus firaun sih tad 😭 kan ada keluarga imran yang lebih sesuai dengan pribadiku yang,0,295,2023-02-09 09:50:48+00:00
37,1623574624410734592,jek___,@norhaidir @disangka tida,0,0,2023-02-09 06:48:49+00:00
38,1623570336275959808,jek___,klik langganan aja apa ya :(,2,181,2023-02-09 06:31:47+00:00
39,1623570266742816768,jek___,@Cadburydairy__ olok2an ini lah yang kutunggu,0,8,2023-02-09 06:31:30+00:00
40,1623570122425221122,jek___,@GagasJanggan mang itu tujuannya,0,1,2023-02-09 06:30:56+00:00
41,1623569700335624192,jek___,@dayatpiliang bukan mba,1,11,2023-02-09 06:29:15+00:00
42,1623566993726246912,jek___,@fajarMSyarif kalo gw dapet yg 200 jutaan bayarin mau kh,0,2,2023-02-09 06:18:30+00:00
43,1623566341977550849,jek___,@ryandirachman ganti land cruiser lah,0,3,2023-02-09 06:15:54+00:00
44,1623566180991787008,jek___,"@disangka serius ada, under 200 juga ada, kan tinggal fasilitas hotelnya dan bintangnya yg berkurang",0,8,2023-02-09 06:15:16+00:00
45,1623565996383690752,jek___,@tulalulit ini mau jilat,0,2,2023-02-09 06:14:32+00:00
46,1623564293659824128,jek___,@asephidiru nyuruh emak biasanya langsung nawar 5rebu,0,6,2023-02-09 06:07:46+00:00
47,1623563883855368194,jek___,@KurihingMeratus mendang mending mendang mending tay kotoq,0,1,2023-02-09 06:06:08+00:00
48,1623563520297291776,jek___,@whatsupram beda blue itu hei daun binahong,0,5,2023-02-09 06:04:42+00:00
49,1623563273697390592,jek___,@Alfin_Nur_F____ INI MULU BGST,2,52,2023-02-09 06:03:43+00:00
50,1623563141404844032,jek___,@kamiiil__ suuuuuuuuuu,0,15,2023-02-09 06:03:11+00:00
51,1623563065001390080,jek___,@arianifitriw masi pke itu kh,0,1,2023-02-09 06:02:53+00:00
52,1623562937343553536,jek___,@taufiqrrhmnn lah iya neng,0,6,2023-02-09 06:02:23+00:00
53,1623562840341872640,jek___,@noyusimi jalur maksa nendang pintu ini,1,9,2023-02-09 06:02:00+00:00
54,1623562760348110850,jek___,@rony_onay iya sih 😔,0,40,2023-02-09 06:01:41+00:00
55,1623562596371820545,jek___,@azwarpahreza itu dia masalahnya,0,6,2023-02-09 06:01:01+00:00
56,1623562526742159363,jek___,"@Nangim__ gamaw, murah",0,1,2023-02-09 06:00:45+00:00
57,1623562466369376256,jek___,@urfavssyantik BELOM,0,1,2023-02-09 06:00:30+00:00
58,1623562393854033921,jek___,"@andikabp__ 170-300 ada, tergantung dari",0,2,2023-02-09 06:00:13+00:00
59,1623561539159756801,jek___,"165ribu per bulan untuk centang biru

duit segitu mending ditabung buat naik haji furoda, tinggal nambah 200 juta a… https://t.co/hYiaBmeSIt",279,2095,2023-02-09 05:56:49+00:00
60,1623508842901573633,jek___,@rbadrya anak dah brp,0,1,2023-02-09 02:27:26+00:00
