annotator,updated_at,annotation_id,sentiment,retweet_count,text,like_count,Unnamed: 0,lead_time,created_at,id,username
1,2023-02-27T06:54:34.244014Z,1820,Negative,112,dah lah 😭 https://t.co/JGm6rwwLxr https://t.co/GsyFS72BU0,1982,0,2.239,2023-02-27T06:54:34.244014Z,1997,jek___
1,2023-02-27T06:54:35.734492Z,1821,Positive,19,a,255,1,1.107,2023-02-27T06:54:35.734492Z,1998,jek___
1,2023-02-27T06:54:37.230498Z,1822,Negative,55,tu reflek mendoakan kita dalam hatinya dan bisa jadi pada saat itu pas tiba waktunya doanya diijabah

setiap kebaik… https://t.co/jlBex4uJKo,610,2,1.057,2023-02-27T06:54:37.230498Z,1999,jek___
1,2023-02-27T06:54:38.641240Z,1823,Negative,288,belajar sedekah kecil2an dulu kalo belum bisa banyak. kembalian 500 perak dikasih aja kalo belanjanya di warung kec… https://t.co/pRdwVdJPhI,1816,3,1.051,2023-02-27T06:54:38.641240Z,2000,jek___
1,2023-02-27T06:54:39.722291Z,1824,Negative,8,https://t.co/ncJz4m1OVA,121,4,0.802,2023-02-27T06:54:39.722291Z,2001,jek___
1,2023-02-27T06:54:40.767896Z,1825,Negative,0,@ardibhironx masih mikir2 ronk :( https://t.co/ONzOEJrzWE,1,5,0.747,2023-02-27T06:54:40.767896Z,2002,jek___
1,2023-02-27T06:54:42.338317Z,1826,Positive,0,@Slmnabd__ ........,1,6,1.31,2023-02-27T06:54:42.338317Z,2003,jek___
1,2023-02-27T06:54:43.480598Z,1827,Positive,1,@Androngehe .............,20,7,0.874,2023-02-27T06:54:43.480598Z,2004,jek___
1,2023-02-27T06:54:45.550426Z,1828,Positive,3,@AK47People ITU BOKAP ANAK YANG LU SENTIL MNYEDDD,87,8,1.814,2023-02-27T06:54:45.550426Z,2005,jek___
1,2023-02-27T06:54:46.634309Z,1829,Positive,51,RT @iwas_hw: @jek___ #ceritajumatan buru² tadi pas sampe masjid udah mulai dpt saf terakhir ubin agak debuan gitu,ga bawa sajadah pula,yaud…,0,9,0.825,2023-02-27T06:54:46.634309Z,2006,jek___
1,2023-02-27T06:54:47.412198Z,1830,Positive,2,@iwas_hw lu ngambil keset anjjj,106,10,0.525,2023-02-27T06:54:47.412198Z,2007,jek___
1,2023-02-27T06:54:48.528085Z,1831,Positive,0,@adiiisptr_ bisa. su,17,11,0.823,2023-02-27T06:54:48.528085Z,2008,jek___
1,2023-02-27T06:54:49.278004Z,1832,Positive,0,@notaniceboy sabet nih,17,12,0.482,2023-02-27T06:54:49.278004Z,2009,jek___
1,2023-02-27T06:54:50.185476Z,1833,Positive,40,RT @Ariedwart: @jek___ #ceritajumatan

tad sebel banget kenapa ya orang2 tadi pas gue datang malah kompak keluar masjid? sampe segitunya cu…,0,13,0.632,2023-02-27T06:54:50.185476Z,2010,jek___
