like_count,text,sentiment
0.0,tanyarl ,
,,
0.0,Negative,
0.0,cw // kulit ,
1.0,Negative,
0.0,"💚 guys, saranin ch YouTube kayak Nadia O'Mara, hirotada, Nessie, Ewing, dong. TIA",Positive
0.0,💚 ada gak sih orang yg gak suka ditanya gimn hari nya,Positive
0.0,"💚 orang lain yg di bentak yg dimarahin, kok gw yg gemeter + deg2an 🥲 huehuehue",Positive
0.0,"User ip, brightness wa sender itu cahayanya teraaang banget, kalo keluar wa cahayanya jadi normal, padahal cahayany… https://t.co/bmA0f6xer6",Negative
0.0,💚 ada yg nyari pasien buat koas gigi sukabumi ga ya?,Positive
1.0,"Sedih banget emg ldr tu, kami dah ldr 1,5 tahun😞 gimana kalian yang ldr? tanyarl https://t.co/FseMFGgV7p",Negative
6.0,💚 aku yang kadang dibeliin pembalut sama bapak 😀 https://t.co/FZirRnIBb6,Negative
0.0,"💚 maksud ""Ln"" di Facebook itu apa? Sender baru main fb bingung bener dah yang punya ilmu jitu cara main fb boleh drop lah. Tia",Positive
1.0,"💚 emang bener, ga tidur dari pulang kerja sampe ketemu kerja lg tuh bahaya bgt. sender habis ngebuat masalah antara… https://t.co/A2VJix0zPF",Negative
1.0,"💚 kata nya kita berhak menjauh dari sesuatu yang nyakitin kita, masa iya gue harus menjauh dari sekolahan gue?",Positive
0.0,💚 kalian kalo libur ngampus ngapain aja? sender gabut banget gatau harus ngapain):,Positive
5.0,💚 kakak kakak yg udah lulus gurunya kek gini juga gak? https://t.co/Kuw7Z2hRRK,Negative
4.0,💚 guys bagi nomor bot stiker wa dong 🥰,Positive
2.0,"aku biasanya sih nonton film/drama gitu, tpi lagi mood, enaknya ngapain ya selain tidur, aku dah cape tidur seharia… https://t.co/a2igYgvbo8",Negative
9.0,💚 Dia masuk islam kh? https://t.co/ibFMncatwM,Negative
0.0,💚 boleh saran puisi yang bagus buat dibacain pas nanti maju di depan kelas?? tapi jangan yg tema percintaan gituu makasiii,Positive
0.0,"💚 gais coba ceritain pengalaman magang kalian, kok sender takut ya.. 😭",Positive
17.0,💚 ayooo main qrt random,Positive
1.0,💚 mi ni mal li ma ka ta https://t.co/rQjg2C5EwI,Negative
2.0,"💚 capek banget gais :'' rasanya aku gagal dikehidupan ini, pengen m4t1 tapi pahala ku belum cukup banyak :(",Positive
0.0,💚 buat kuliah mending pantofel yang ada haknya  atau ga ada haknya? tengkyuuu,Positive
0.0,Aku kudu gimana bingung bgt 💚 https://t.co/P7FZ5BpGtx,Negative
87.0,💚 CW // Horror  Paling takut sama setan yg ganggu shalat apalagi sampe depan depanan.. auto resign klo kantor bgini… https://t.co/oYlqkLE9OV,Negative
1.0,udah kepikiran nama anak belum? spill dikit dong atau nama panggilannya aja 💚,Positive
0.0,💚 Urgent! Apakah ada yang punya info buat kontrak rumah/kos/apartemen yang murah daerah pakubuwono jakarta selatan?… https://t.co/eJZYQu0MSC,Negative
5.0,"💚 what de fakkk , emang paling bener twitter ga di pegang si elon musrik 🖕🏻 https://t.co/83exOck26p",Negative
2.0,Tanyarl ,
28.0,Negative,
1.0,💚 Pengen pakai pashmina tapi selalu ga nyaman bagian belakang yang pendek. Nanti tiba tiba keliatan leher &amp; rambut,Positive
1.0,Crush gue ngefollow dan nonton live bestie gue wkwk 💚,Positive
3.0,💚  CW// K-drama,
31.0,Negative,
1.0,"💚 cowok, sma, anak rumahan banget a.k.a jarang banget keluar rumah. menurut kalian orang kaya gini gimana guys??",Positive
2.0,"💚 hai sender android user, mau coba ip, tolong kasih tau dong fitur, perkabelan, apps, dll supaya ga kaget ... TIA",Positive
29.0,"💚 sender pnya temen Korea yg bisa bhs Indonesia, dia lucu bgt wkwkwk kita lg ngomongin B4b1..eh dia malah ngatain d… https://t.co/323sWPign7",Negative
0.0,"💚 tugas yang sender kerjain semaleman, tadi siang dicontek gitu aja sama seatmate sender. ini kalo sender ga ikhlas… https://t.co/aWoeiT11CT",Negative
4.0,💚 drop video lyrics lagu yg deep bgt dong.,Positive
1.0,"💚 A, i have a crush on you. tapi sainganku cewek paling cantik di sekolah, jadi aku mundur aja deh hahah",Positive
0.0,"Guys udah liat film ini belum, asli sender malah kasian sama sasha😭 ",
38.0,Negative,
1.0,"💚 guys mau nanya, aku udah disuruh kirim transkip nilai tapi nilai ku bahkan belum keluar semua di web kampus, itu… https://t.co/WLH7fsIY0T",Negative
0.0,💚 misal beli tiket kereta tapi bukan akun milik sendiri tuh tiketnya ga bisa di ubah jadwal sm dibatalkan ya? Ini t… https://t.co/wILORXzLot,Negative
18.0,tapi harus tetaf bertahan yagesya 💚 https://t.co/xlYHADP6Bb,Negative
3.0,💚 aku harus gimana yaa https://t.co/w3Fw7Vujpp,Negative
4.0,💚 selamat pagi guys🥰 kalian hari ini mau sarapan pake apa?,Positive
0.0,Kamu pekerja milenial usia 26-42 tahun dan memiliki atasan? Yuk merapat dan mohon kesediaannya untuk mengisi kuesio… https://t.co/Bkcs7F0rjO,Negative
78.0,Tanyarl mi ni mal li ma ka ta https://t.co/ulpsCXCPbA,Negative
0.0,"💚 aku mau ngechat crush ak mau minta save, tapi gaberani mental yupii. gmn ya cara ngechatnya mau minta save? 😭😭",Positive
2.0,"💚 gausa sok spik up ttg no for bully klo akhirnya lo juga pelaku bullying, wkwk munafik. merasa manusia baik ternyata hobi cyberbully",Positive
17.0,"💚 mari berdoa buat temen"" kita yang ada disana dan sekitarnya menurut kepercayaan masing"" 🙏 https://t.co/2lEubxHDUD",Negative
6.0,"Tanyarl guys yang pakai samsung galaxy Z flip3 review dong, + - nya apa aja? https://t.co/fUL4tT3sjz",Negative
0.0,💚 ada yg punya anak kecil umur min 1 thn dan bisa di ajak foto? Boleh minta tolong bantu aku ga buat campaign susu… https://t.co/BMqTaNSAU9,Negative
15.0,"💚 ngeri bgt ini gaiss akun igey nya si penipu masih ada, ksian kalo bnyak yg ketipuu. please jgn ada yg bewlii di @… https://t.co/rHRZmx135Q",Negative
0.0,"💚 mau tanya dong, klo de4ct igeh kan dm igeh nya jadi ""user inst4gr4m"" klo delete igeh kaya gitu jga ga? apa langsu… https://t.co/rSBbxmIcbn",Negative
0.0,💚 haii ada yg punya contoh proposal pengajuan jasa ke perusahaan/organisasi? butuh bangett :(,Positive
0.0,💚 guisee ada yang pake ini ga? ini tuh sama kaya g0pay/d4na gitu atau emang kaya mbank1ng? https://t.co/hjOwYbTBG2,Negative
0.0,tanyarl cara biar cepet bisa bobo gimana ya? aku udh merem dari jam 9 tapi baru bisa tidur jam set 11 huhu,Positive
0.0,💚 kalian yang cewe biasanya kalo mau jalan preparenya berapa lama? serius nanya,Positive
0.0,"guys kalo biaya pasang behel 5jt gitu misal, itu udah include atas bawah kan? atau biaya buat satu rahang aja? 💚",Positive
0.0,💚 Yamaha F310 atau Yamaha F400 buat pemula? sender pilih akustik hehe..,Positive
2.0,💚 pengen tau pandangan kalian ke gemini dong? negatif sama positifnya ya,Positive
0.0,"tanyarl jadi, rumah orang tua ku ini sebelahan sama bude tukang urut, sering banget tiba tiba orang datang ke rumah… https://t.co/8BEYLUw6r8",Negative
0.0,💚 kalian yang kelahiran 98 pada punya pacar atau single?,Positive
0.0,"💚 wta, kalo misal kita ngajak putus, tp si doi gamau trs. Nah gimana ya caranya biar tetep putus gitu? thanks",Positive
0.0,💚 Gue sender menfess ini. Sekarang temen gue udah balikan yg kedua kalinya sama itu cowo :) Padahal waktu mereka pa… https://t.co/c8OFDzDpmr,Negative
6.0,💚 how do you tell someone youre in love w them without actually telling them?,Positive
4.0,"💚 aku kok ga seberuntung temen temen aku ya, mereka lulus kuliah lgsg dapat kerjaan aku udah mau 6 bulan dari kelul… https://t.co/iG4v0SRMq5",Negative
2.0,kata temenku gapapa kalo kita butuh orang lain untuk melupakan seseorang 💚,Positive
0.0,"💚 jdi ak rencana mau ngasih kado buat cwo aku guys. nah dia skrg tuh lg pgn bngt naikin bb, krn mnrt dia dia terlal… https://t.co/2DmVzzNpu7",Negative
42.0,💚 Gambar yang bisa didengar 😏 https://t.co/XWrHMRgiUZ,Negative
0.0,"💚 uang ku 3jt dimaling kakak sepupu, knp bisa ketauan karena kepergok bude ku yg satunya tp dia ga ngerasa🙂🙂",Positive
1.0,💚 ada yg tau gaak ini mksdnya gimana? dan sender harus gimana lagi buat bebasin akun susi? ,
70.0,Negative,
22.0,tanyarl hmmmm gimana yachhh gengs https://t.co/CCiNdefFjd,Negative
0.0,Tanyarl aku minya sarannya dong guys. TIA https://t.co/F1wuoPKbkB,Negative
54.0,"💚 cuma mau ngingetin guys, bentar lagi mau bulan Ramadhan. YaAllah, waktu beneran ga kerasa😭 https://t.co/egrxDF5uyH",Negative
0.0,💚 email ku kenapa ga bisa login ke canva ya??,Positive
0.0,💚 mau cetak kaos misal desainnya ambil element yang dari canva boleh ga ya?,Positive
1.0,💚 merk pensil warna yang bagus apa ya? Faber castle atau grebel??,Positive
0.0,Tanyarl 💚 termasuk untung apa emang sebenernya harganya segitu? https://t.co/yMsdy3ev0F,Negative
4.0,"💚 bingung bgt ga si, ada orang yg cakep bgt, pasti diincer orang banyak, mau siapa tinggal milih, tapi dia malah mi… https://t.co/KCyXAt1oSc",Negative
16.0,💚 oalahhh baru paham😂 https://t.co/dtTbVHktym,Negative
0.0,"Tanyarl kepala sender bener"" pusing tentang persoalan ini🥺 https://t.co/wOXgUl3mMd",Negative
0.0,gmn ya cara bikin pencuri ngaku sendiri? soalnya sepupu ku sering banget ngambil duitku atau ortuku tapi kami segan… https://t.co/7fxUuvfVxj,Negative
0.0,Tanyarl guys aku lgi perlu banget sesuatu. Rencananya mau pke shop* paylater. Pengalaman kalian yg pernah make gmna… https://t.co/l7yDozEOD2,Negative
3.0,"💚 GUYS RACUNIN AKU MUKENA DONG, AKU MAU BELI BUAT LEBARAN. BUDGET 150K, KALO BISA YANG SATIN VELVET GITU YANG LAIN JUGA GAPAPA. TIA.",Positive
30.0,💚 Bedakan ya guys antara Kereta dan Gerbong https://t.co/7J5qnqyurB,Negative
0.0,💚 pusing banget ngerjain skripsi😭,Positive
0.0,"💚 mauu tanyaa, kalau cowo kalian bbrapa kali ngepost di feeds sma temen kuliahnya, yg kebetulan ad cewenya, tdi bah… https://t.co/QoyNZTrIIB",Negative
4.0,💚 ini tuh emang bagusnya klo charger ga sampw 100% ya?? Sender baru tau.. https://t.co/3fZjn3fHWd,Negative
3.0,💚 sender ngebet punya pacar😥,Positive
2.0,💚 kasih tau meme terlucu kalian!!!,Positive
17.0,💚 pilih top 3 kalian dari mié sédàap,
90.0,Negative,
113.0,"gapapaa, pasti bisa 💚 https://t.co/hdeWJUHUNm",Negative
0.0,💚 guys ada yang mau bantuin like video lomba edukasi di tikt0k ga? yg mau tolong rep di bawah ya 🥺🙏🏻,Positive
2.0,💚 mau nanya looksim yang di adaptasi jadi anime s2 nya udah keluar apa belum? Kalau udah ada nya dimana,Positive
0.0,💚  halo ada yg ngerti cara ngatasin ini nggak pas mau login iTunes? Daritadi coba sana sini cara gaada yg berhasil😔… https://t.co/7B5PyMKsXv,Negative
1.0,tanyarl saran terbaiknya dong 😭 https://t.co/E3eykai1DG,Negative
1.0,💚 pengen deh ngerasain rasanya punya bapak 😔,Positive
4.0,"tanyarl flashback ke 2022 yuk, intip belanjaan shopee kalian dong, paling boros di bulan apa tahun lalu?",
97.0,Negative,
0.0,💚 sp yg besok sekolahnya daringgg???,Positive
15.0,"💚 gaiss laptop aku tiap kali buka Excel atau Word suka ke enter sendiri, sama suka eror gitu, itu kenapa ya?? ada v… https://t.co/pbz95z2gT8",Negative
17.0,💚 awal februari kalian gimana guys? ,
100.0,Positive,
199.0,💚 ga habis thinking https://t.co/fUh6ipoL15,Negative
1.0,💚 siapa yg dah 24+ tapi belum dibolehin pacaran ama ortu😔☝️,Positive
48.0,💚 coba rate seberapa kalian suka sama strawberry🍓?? https://t.co/O1CaidAgM4,Negative
1.0,Tanyarl Samsung S23 plus worth it buat konser gk sih?,Positive
7.0,💚 Halo warga twit! Pls I still need help buat isi kuesioner~ thankyou ^^ https://t.co/rQPRSiz7kH,Negative
1.0,💚 gimana caranya buat tetep peduli sama orang yang bahkan ga nganggep kita ada? Masalahnya ini orang gabisa dijauhin karena masih keluarga🥲,Positive
30.0,Tanyarl. Guys plss saran caption Poto di pantai https://t.co/iJsiyOTzJX,Negative
1.0,💚 cw // benjolan di muka,
,,
108.0,Negative,
1.0,tanyarl di dom kalian gledeknya lagi jedar jeder ga ges??,Positive
4.0,Tanyarl cara meratakan warna kulit biar gak belang gimana ya😇😇,Positive
167.0,gaisss bagus ga?? puas bgtt tauu,
111.0,Negative,
3.0,💚 kerjaan mu sekarang ini kalo disabarin aja bisa kaya ga?,Positive
4.0,💚 gais kasih tau dong di bangku mana kita bisa liat view yang bagus dari kereta jkt-jogja. Soalnya sender baru pert… https://t.co/VPtaE7AMZK,Negative
2.0,ini https://t.co/a7KwaVhaaW,Negative
40.0,LAGI OPFOLL👇🏻👇🏻👇🏻,
,,
,,
,,
,,
115.0,Negative,
1.0,pantengin,Positive
45.0,OPFOL YUKKKkkkk,
117.0,Positive,
0.0,done,Positive
6.0,ini https://t.co/1NlgJefVp9,Negative
28.0,LAGI OPFOLL👇🏻👇🏻👇🏻,
,,
,,
,,
,,
120.0,Negative,
6.0,pantenginn,Positive
