annotator,updated_at,annotation_id,sentiment,retweet_count,text,like_count,Unnamed: 0,lead_time,created_at,id,username
1,2023-02-27T06:40:00.255022Z,1620,Positive,67,@0215jaeyun HAH KOK BS,533,0,2.544,2023-02-27T06:40:00.255022Z,1797,zivamagnolyeah
1,2023-02-27T06:40:05.280317Z,1621,Neutral,0,@grndpldv 💁🏻‍♀️💁🏻‍♀️💁🏻‍♀️,12,1,2.633,2023-02-27T06:40:01.150715Z,1798,zivamagnolyeah
1,2023-02-27T06:40:07.967632Z,1622,Positive,3441,gampang bgt liat redflag orang lain padahal redflag diri sendiri juga tak kalah banyak 💅🏻,14484,2,0.786,2023-02-27T06:40:07.967632Z,1799,zivamagnolyeah
1,2023-02-27T06:40:09.875369Z,1623,Positive,10,RT @1011mgtradio: Ini dia listeners cuplikan keseruan Bazar Cerita Cinta di Cihampelas Walk bareng @zivamagnolyeah kemarin ✨✨ #MGTRADIO #va…,0,3,1.608,2023-02-27T06:40:09.875369Z,1800,zivamagnolyeah
1,2023-02-27T06:40:10.745827Z,1624,Positive,240,RT @ciloqciliq: Ga bangun bangun soalnya ketindihan, ketindihan rasa malas,0,4,0.586,2023-02-27T06:40:10.745827Z,1801,zivamagnolyeah
1,2023-02-27T06:40:11.548925Z,1625,Positive,76,+ manis di pertengahan juga oke,1349,5,0.481,2023-02-27T06:40:11.548925Z,1802,zivamagnolyeah
1,2023-02-27T06:40:12.701141Z,1626,Positive,5702,info menemukan doi yang manis di awal dan manis di akhir,24443,6,0.768,2023-02-27T06:40:12.701141Z,1803,zivamagnolyeah
1,2023-02-27T06:40:15.434020Z,1627,Negative,99,🙂 https://t.co/DS9djBD0LN,2403,7,1.204,2023-02-27T06:40:13.464257Z,1804,zivamagnolyeah
1,2023-02-27T06:40:18.619114Z,1628,Negative,14,sampe depan bgt dijagainnya:’)) makasiii yaaaaaaw!!! https://t.co/anPxMDxkju,795,8,1.585,2023-02-27T06:40:18.619114Z,1805,zivamagnolyeah
1,2023-02-27T06:40:19.627588Z,1629,Negative,54,td sblm ke pantai, aku live di twt minta buat temenin pas balik k kamar hotel krn jalanan dr pantai ke kamar tu jau… https://t.co/QKisj6dJ4b,1823,9,0.752,2023-02-27T06:40:19.627588Z,1806,zivamagnolyeah
1,2023-02-27T06:40:20.859424Z,1630,Positive,0,@tanyakanrl soji,224,10,0.953,2023-02-27T06:40:20.859424Z,1807,zivamagnolyeah
1,2023-02-27T06:40:21.693126Z,1631,Positive,1,@jxxzvvv gpp ak rela kulitnya gelap asal ak hepi,89,11,0.575,2023-02-27T06:40:21.693126Z,1808,zivamagnolyeah
1,2023-02-27T06:40:22.444807Z,1632,Positive,0,@Abl70060409 gpp mang np si,59,12,0.483,2023-02-27T06:40:22.444807Z,1809,zivamagnolyeah
1,2023-02-27T06:40:31.631311Z,1633,Positive,2012,Tuhan aku mau punya rumah deket pantai,10097,13,8.919,2023-02-27T06:40:31.631311Z,1810,zivamagnolyeah
1,2023-02-27T06:40:32.859465Z,1634,Negative,13106,tujuan mengenyam pendidikan tinggi tuh bukan sekedar buat pinter-pinteran akademis aja. tp paling tidak, kita juga… https://t.co/MHFLBTYie0,29227,14,0.954,2023-02-27T06:40:32.859465Z,1811,zivamagnolyeah
1,2023-02-27T06:40:34.360176Z,1635,Positive,4211,kenapa rasa pengen ngeluh selalu ada walau tak ada masalah,13482,15,1.226,2023-02-27T06:40:34.360176Z,1812,zivamagnolyeah
1,2023-02-27T06:40:35.349150Z,1636,Positive,0,@RajaGiannuca wkwkwk,55,16,0.735,2023-02-27T06:40:35.349079Z,1813,zivamagnolyeah
1,2023-02-27T06:40:36.559067Z,1637,Negative,20,@rizkayuul https://t.co/n6qJZ3CiX3,221,17,0.942,2023-02-27T06:40:36.559067Z,1814,zivamagnolyeah
1,2023-02-27T06:40:37.642492Z,1638,Positive,90,artinya ap bg messi,2483,18,0.817,2023-02-27T06:40:37.642492Z,1815,zivamagnolyeah
