Unnamed: 0,id,username,text,retweet_count,like_count,created_at,label,clean,Token,Normalisasi,Stopwords
0,1622612766266900481,ntsana_,"RT @knockknock0408: groovechaja ins
@weareoneEXO https://t.co/RexmDaiPjl",4534,0,2023-02-06 15:06:44+00:00,bot,rt groovechaja ins https co rexmdaipjl,"['rt', 'groovechaja', 'ins', 'https', 'co', 'rexmdaipjl']","['rt', 'groovechaja', 'ins', 'https', 'co', 'rexmdaipjl']","['rt', 'groovechaja', 'ins', 'https', 'co', 'rexmdaipjl']"
1,1622583399105069057,ntsana_,🤡 https://t.co/sly9cEUdaB https://t.co/OgZhRSmYJh,585,3838,2023-02-06 13:10:03+00:00,bot,https co sly ceudab https co ogzhrsmyjh,"['https', 'co', 'sly', 'ceudab', 'https', 'co', 'ogzhrsmyjh']","['https', 'co', 'sly', 'ceudab', 'https', 'co', 'ogzhrsmyjh']","['https', 'co', 'sly', 'ceudab', 'https', 'co', 'ogzhrsmyjh']"
2,1621496343834546177,ntsana_,😭 https://t.co/7suaOGFlx3 https://t.co/NxnNkXFwU9,571,4843,2023-02-03 13:10:28+00:00,bot,https co suaogflx https co nxnnkxfwu,"['https', 'co', 'suaogflx', 'https', 'co', 'nxnnkxfwu']","['https', 'co', 'suaogflx', 'https', 'co', 'nxnnkxfwu']","['https', 'co', 'suaogflx', 'https', 'co', 'nxnnkxfwu']"
3,1621164409728176129,ntsana_,RT @B_hundred_Hyun: 곧만나!!&gt;&lt;,115056,0,2023-02-02 15:11:29+00:00,human,rt gt lt,"['rt', 'gt', 'lt']","['rt', 'begitu', 'lt']","['rt', 'lt']"
4,1620046837246988288,ntsana_,"mantap 
https://t.co/bGA4lyxu3v https://t.co/h3WQcWD5sW",285,2321,2023-01-30 13:10:39+00:00,bot,mantap https co bga lyxu https co wqcwd sw,"['mantap', 'https', 'co', 'bga', 'lyxu', 'https', 'co', 'wqcwd', 'sw']","['mantap', 'https', 'co', 'bga', 'lyxu', 'https', 'co', 'wqcwd', 'sw']","['mantap', 'https', 'co', 'bga', 'lyxu', 'https', 'co', 'wqcwd', 'sw']"
5,1618984634779566080,ntsana_,@adit_insomnia duhh😮‍💨,0,2,2023-01-27 14:49:50+00:00,human,duhh,['duhh'],['duhh'],['duhh']
6,1618959218312355840,ntsana_,😊 https://t.co/KiBSiGUMzi https://t.co/zaflXUFwnO,2436,12968,2023-01-27 13:08:51+00:00,bot,https co kibsigumzi https co zaflxufwno,"['https', 'co', 'kibsigumzi', 'https', 'co', 'zaflxufwno']","['https', 'co', 'kibsigumzi', 'https', 'co', 'zaflxufwno']","['https', 'co', 'kibsigumzi', 'https', 'co', 'zaflxufwno']"
7,1617513188316315649,ntsana_,🤣 https://t.co/2eeXQHXuHV https://t.co/JwmBB0zG1F,915,6783,2023-01-23 13:22:50+00:00,bot,https co eexqhxuhv https co jwmbb zg,"['https', 'co', 'eexqhxuhv', 'https', 'co', 'jwmbb', 'zg']","['https', 'co', 'eexqhxuhv', 'https', 'co', 'jwmbb', 'zg']","['https', 'co', 'eexqhxuhv', 'https', 'co', 'jwmbb', 'zg']"
8,1617230016106102786,ntsana_,🤭😘♥️ https://t.co/UzCuyknoEi,109,1153,2023-01-22 18:37:37+00:00,bot,https co uzcuyknoei,"['https', 'co', 'uzcuyknoei']","['https', 'co', 'uzcuyknoei']","['https', 'co', 'uzcuyknoei']"
9,1617229390211088384,ntsana_,RT @Arsenal: BIG. THREE. POINTS. https://t.co/1Tbu8SP8p9,34128,0,2023-01-22 18:35:07+00:00,bot,rt big three points https co tbu sp,"['rt', 'big', 'three', 'points', 'https', 'co', 'tbu', 'sp']","['rt', 'big', 'three', 'points', 'https', 'co', 'tbu', 'sp']","['rt', 'big', 'three', 'points', 'https', 'co', 'tbu', 'sp']"
