"id","annotations__id","annotations__completed_by","annotations__result__value__choices__-","annotations__result__id","annotations__result__from_name","annotations__result__to_name","annotations__result__type","annotations__result__origin","annotations__was_cancelled","annotations__ground_truth","annotations__created_at","annotations__updated_at","annotations__lead_time","annotations__result_count","annotations__task","annotations__project","annotations__parent_prediction","annotations__parent_annotation","file_upload","data__Unnamed: 0","data__id","data__username","data__text","data__retweet_count","data__like_count","data__created_at","created_at","updated_at","inner_id","total_annotations","cancelled_annotations","total_predictions","comment_count","unresolved_comment_count","last_comment_updated_at","project","updated_by"
"2397","2222","1","Negative","OZB7sR4Y4i","sentiment","text","choices","manual","False","False","2023-02-27T07:12:01.609001Z","2023-02-27T07:12:01.609001Z","1.547","0","2397","19","null","null","5d4119fc-humandsuperboy.csv","0","1622509979126345730","dsuperboy","Dulu tinggal di desa, orang tua bikin rumah di tengah sawah malah — di satu bagian yang dikeringkan. Mereka bertani… https://t.co/WnIbrb0uwb","9","382","2023-02-06 08:18:18+00:00","2023-02-27T07:11:57.943070Z","2023-02-27T07:12:01.680010Z","1","1","0","0","0","0","null","19","1"
"2398","2223","1","Positive","A8hG_Cynqw","sentiment","text","choices","manual","False","False","2023-02-27T07:12:02.815791Z","2023-02-27T07:12:02.815791Z","0.783","0","2398","19","null","null","5d4119fc-humandsuperboy.csv","1","1622464844325879808","dsuperboy","Kerja keras buat beli waras.","1478","3865","2023-02-06 05:18:57+00:00","2023-02-27T07:11:57.943070Z","2023-02-27T07:12:02.868326Z","2","1","0","0","0","0","null","19","1"
"2399","2224","1","Neutral","8Ofvku4BK6","sentiment","text","choices","manual","False","False","2023-02-27T07:12:03.674418Z","2023-02-27T07:12:05.868367Z","1.162","0","2399","19","null","null","5d4119fc-humandsuperboy.csv","2","1622162343907192832","dsuperboy","@Yan_Djainady 🙏🏻","0","0","2023-02-05 09:16:55+00:00","2023-02-27T07:11:57.943070Z","2023-02-27T07:12:05.928949Z","3","1","0","0","0","0","null","19","1"
"2400","2225","1","Negative","MQMrf79ken","sentiment","text","choices","manual","False","False","2023-02-27T07:12:08.794027Z","2023-02-27T07:12:08.794027Z","1.087","0","2400","19","null","null","5d4119fc-humandsuperboy.csv","3","1622110760989241345","dsuperboy","Awal tahun menandatangani 2 kontrak kerjasama dengan penerbit Sigikata. Tahun ini kami berencana menerbitkan 2 judu… https://t.co/e2sgCuspTJ","4","296","2023-02-05 05:51:57+00:00","2023-02-27T07:11:57.943070Z","2023-02-27T07:12:08.852259Z","4","1","0","0","0","0","null","19","1"
"2401","2226","1","Neutral","6gf-mHBNeL","sentiment","text","choices","manual","False","False","2023-02-27T07:12:10.872303Z","2023-02-27T07:12:10.872303Z","1.676","0","2401","19","null","null","5d4119fc-humandsuperboy.csv","4","1622107143704018944","dsuperboy","@elisanina19 🙏🏻","0","47","2023-02-05 05:37:35+00:00","2023-02-27T07:11:57.943070Z","2023-02-27T07:12:10.928131Z","5","1","0","0","0","0","null","19","1"
"2402","2227","1","Negative","aOCBm-5B45","sentiment","text","choices","manual","False","False","2023-02-27T07:12:12.041125Z","2023-02-27T07:12:12.041125Z","0.888","0","2402","19","null","null","5d4119fc-humandsuperboy.csv","5","1621964620436234240","dsuperboy","https://t.co/OmZHGIzraH","77","853","2023-02-04 20:11:14+00:00","2023-02-27T07:11:57.943070Z","2023-02-27T07:12:12.095947Z","6","1","0","0","0","0","null","19","1"
"2403","2228","1","Negative","Y6Rm03mFgU","sentiment","text","choices","manual","False","False","2023-02-27T07:12:13.346077Z","2023-02-27T07:12:13.346077Z","1.049","0","2403","19","null","null","5d4119fc-humandsuperboy.csv","6","1621907929120251905","dsuperboy","Aku tidak kalah, aku hanya sedang mengambil jeda. Membiarkan udara berembus di sekitarku. Mengumpulkan energi dan m… https://t.co/RDfF8EWd5s","1404","4567","2023-02-04 16:25:58+00:00","2023-02-27T07:11:57.943070Z","2023-02-27T07:12:13.407145Z","7","1","0","0","0","0","null","19","1"
"2404","2229","1","Negative","WxU3cNVQgO","sentiment","text","choices","manual","False","False","2023-02-27T07:12:14.324695Z","2023-02-27T07:12:14.324695Z","0.703","0","2404","19","null","null","5d4119fc-humandsuperboy.csv","7","1621797349487181825","dsuperboy","Alasan lain ke Bukittinggi. https://t.co/kDizjaqyTJ","50","1136","2023-02-04 09:06:34+00:00","2023-02-27T07:11:57.943070Z","2023-02-27T07:12:14.386112Z","8","1","0","0","0","0","null","19","1"
"2405","2230","1","Negative","QHoUQzA0j9","sentiment","text","choices","manual","False","False","2023-02-27T07:12:15.266542Z","2023-02-27T07:12:15.266542Z","0.672","0","2405","19","null","null","5d4119fc-humandsuperboy.csv","8","1621733298610511872","dsuperboy","Satu dari banyak alasan ke Bukittinggi. https://t.co/Fz6q1sMU1p","42","894","2023-02-04 04:52:03+00:00","2023-02-27T07:11:57.943070Z","2023-02-27T07:12:15.322712Z","9","1","0","0","0","0","null","19","1"
"2406","2231","1","Positive","0uJoEdwyCU","sentiment","text","choices","manual","False","False","2023-02-27T07:12:16.321977Z","2023-02-27T07:12:16.321977Z","0.801","0","2406","19","null","null","5d4119fc-humandsuperboy.csv","9","1621728912056389632","dsuperboy","@otongkoil Yang penting nggak pakai dukun :(","8","261","2023-02-04 04:34:37+00:00","2023-02-27T07:11:57.943070Z","2023-02-27T07:12:16.376881Z","10","1","0","0","0","0","null","19","1"
