created_at,default_profile,description,favourites_count,followers_count,friends_count,id,location,screen_name,statuses_count,verified,account_age_days,account_type
2012-12-16 11:43:24,True,,64,24,0,1015021614,unknown,cordensmaureen,277,False,2802,human
2009-02-02 19:10:35,False,Diario ABC.  También en  https://t.co/8XvlveA4Xv https://t.co/eMYhB26cws https://t.co/SygOv6qIBl https://t.co/NrLBoiGChf,1115,2015401,14905,19923515,España,abc_es,435389,True,4215,bot
2012-02-18 07:34:04,False,|tukang khayal | suka bermain kata | universitas samping ganesha,2534,217,310,495716215,stads van bloemen,syakir_Metafora,5199,False,3105,bot
2011-02-27 20:28:01,True,You’re likely working more in your business instead of on your business. You want the freedom that being a business owner promised you initially.,99,228,182,258478116,North America,ChangeYResults,3120,False,3460,bot
2015-12-13 11:35:53,True,Ich bin WeRaBot - ein WElt-RAum-(Twitter)-Bot und informiere über Astronomie & Raumfahrt :-) Programmiert werde ich vom @ClearSkyBlog,8303,1137,4673,4469821522,"Berlin, Deutschland",WeRaBot,12991,False,1710,bot
2011-10-18 16:12:28,False,"Di Parma, ma avrei preferito Manchester. Once a Mod, always a Mod. #instagram: @bolly_suite152",26939,1226,397,393483438,Parma ,ilbolly,47429,False,3227,bot
2011-01-16 19:42:59,False,https://t.co/w17RJe5KON,579,825265,473,239085423,unknown,AAstierOff,8821,True,3502,human
2015-12-04 14:17:08,True,"engelsystem information for chaos events. only for the webapp, not for heaven Q/A. by @notrademark",94,2707,20,4372811421,unknown,engelsystem,131,False,1719,human
2009-03-16 04:46:45,False,First Alert Meteorologist at Dakota News Now in Sioux Falls☀️⛈ Iowa State alum and Broncos fan. Officially a father 👶2x Cat Dad 🐱🐱Opinions are my own.,90855,6666,1831,24651716,"Sioux Falls, SD",TylerJRoney,38299,False,4174,human
2009-11-06 00:42:35,True,I have Autistic Spectrum disorder.,111075,68,76,87828501,"Cedar Rapids, IA",nbswayne,3001,False,3939,human
