,default_profile,description,favourites_count,followers_count,friends_count,id,location,screen_name,statuses_count,verified,account_age_days,account_type,ratio_statuses_count_per_age,ratio_favorites_per_age,ratio_friends_per_followers,word_count,char_count,reputation,contains_bot_name,description_word_count,description_character_count,avg_word
0,True,Cosplay master. Unicorn. Waiting you at https://t.co/YlP1D4EbFc,491,0,0,2559057222,True,lavenderr90,116,False,2261,bot,0.0513047324192835,0.21716054842989826,,7,63,,,7,57,8.142857142857142
1,True,x,1390,16,22,119284832,True,sherrik2326384,2033,False,3822,bot,0.531920460491889,0.3636839351125065,1.375,1,1,0.42105263157894735,,1,1,1.0
2,True,The official Twitter account for San Antonio College. Managed and updated by the SAC Public Relations Team.,1444,8789,721,19663518,True,SAC_PR,6026,False,4220,human,1.4279620853080568,0.34218009478672984,0.08203436113323473,17,107,0.9241850683491062,,17,91,5.352941176470588
3,False,The Panda’s Friend,6013,649266,898,72878707,True,MettaWorld37,7224,False,3996,human,1.8078078078078077,1.5047547547547548,0.0013831003009552325,3,18,0.9986188100233172,,3,16,5.333333333333333
4,False,"I've wrestled for the #WWE, I'm an #ECW Original & member of the #bWo and J.O.B Squad!!!

Go to the @MindOfTheMeanie podcast https://t.co/vOi7cgnqCE",66356,62501,3390,23595924,True,BlueMeanieBWO,68308,True,4179,human,16.34553720985882,15.878439818138311,0.05423913217388522,22,148,0.9485513954864853,,23,125,5.434782608695652
5,False,"A Eterna Bailarina e a Futura Médica  -Never a failure, always a lesson! ❤️",3393,515,260,173807264,True,AdryaSarmento,22189,False,3669,bot,6.047696920141728,0.9247751430907605,0.5048543689320388,15,75,0.6645161290322581,,14,61,4.357142857142857
6,True,Cosplayer \\ Dogs lover. Waiting you at https://t.co/YJbl3t0d06,128,8,102,1150295048,True,jinyang930906,39,False,2752,bot,0.014171511627906976,0.046511627906976744,12.75,8,63,0.07272727272727272,,8,56,7.0
7,False,"hydration, hot sauce, having a bant. she/her. 🦢",48681,1501,488,791449,True,solarpowerspork,223637,False,4925,bot,45.40852791878173,9.884467005076143,0.3251165889407062,8,47,0.7546505781799899,,8,40,5.0
8,True,billygoat,3031,193,322,926425458,True,dakoko25,7656,False,2844,bot,2.691983122362869,1.0657524613220817,1.6683937823834196,1,9,0.37475728155339805,,1,9,9.0
9,True,"Stake - Profit - Repeat.

Top holding: $COMP #808Coin $SBIT $DVRS $PAYP",1393,7636,3732,316147373,True,ProgrediMan,5319,False,3355,human,1.5853949329359165,0.41520119225037255,0.48873755893137766,11,71,0.6717100633356791,,12,59,4.916666666666667
10,True,Founder https://t.co/F1in2szDMC ESPN 710 LA 7-10 pm. https://t.co/rNGNw4oeA3 on 1090 SD 3-6 pm. NFL WW1 reporter  PITT football 88-92 Ironman Kona '10,64338,17586,3108,26744624,True,ScottKaplan,36496,True,4163,human,8.766754744174873,15.454720153735288,0.17673149095871715,23,150,0.8498115395766889,,22,128,5.818181818181818
