created_at,default_profile,description,favourites_count,followers_count,friends_count,location,screen_name,statuses_count,verified,account_age_days,account_type
2011-03-23 07:48:09,False,accounting the uninteresting life of a teenage girl.,48,42,0,New Zealand,aspen_soffe,3458,False,3437,bot
2015-01-18 09:58:56,True,,609,264,345,unknown,tizianafu,4488,False,2040,bot
2016-07-11 09:17:43,False,melissa & liz | they/them | nocturnal queer cryptids | we make art and also comics | dm us for info about commissions | acct run by that melissa nerd,11283,1625,709,"St. Paul, MN",friedunicornstu,5527,False,1500,human
2011-07-16 22:22:19,False,,1463,65,0,Oklahoma,HalfbreedAaron,2176,False,3321,bot
2009-03-03 06:41:11,False,New Adventures in Wi-Fi.,2162,1827,764,"Toronto, Ontario",roniuj,171424,False,4187,human
2015-05-25 13:38:50,False,"🇧🇷 Maçom, Judeu, Cristão, Médium, Espírita, Banqueiro, Autor
🇺🇸Freemason, Jew, Christian, Medium, Spiritist, Banker, Author, Founder & CEO @ECMCapital",2,510,30,"Nova Iorque, USA",EdluiseMoura,14467,False,1912,human
2012-01-13 12:43:35,True,,6983,6,68,unknown,chenqian0808,1497,False,3140,bot
2014-11-26 10:51:14,False,,16,13,4,unknown,neokun06,0,False,2093,bot
2010-03-23 04:02:55,True,作家。Writer ◆公式サイト https://t.co/hTEcx4xIxb ◆オンラインサロン「近現代を読む」 https://t.co/3bUoQJC7Mk ◆facebook https://t.co/dal2vjsZIs ◆ 著作集「日本の近代」 https://t.co/yo6gnTYG2i,1202,1146987,472,東京,inosenaoki,27506,True,3802,human
2011-05-06 18:36:07,True,,473,0,261,unknown,Amoritia,8,False,3392,bot
2008-02-23 12:22:25,False,Ethics enthusiast &&  الحب و الحياة في وقت قصير && cast iron club,10179,87893,3366,The Village; Be Seeing You!,ioerror,67097,False,4560,bot
2012-07-20 18:36:21,False,"Tudo sobre tendências,moda,arte, fofocas e muita bijoux! Quem quiser ficar antenado no melhor que acontece no mundo siga-nos!",1828,33,125,São Paulo,SanttoApego,2809,False,2951,bot
2009-03-02 23:26:38,True,"Host/Content Provider: @sinow, @cbssportsradio, @maddogradio",960,31144,3309,New York,robinlundberg,123508,True,4187,human
2016-09-14 18:58:16,True,,2051,20,0,"Hollywood, FL",Beauttykills_,2853,False,1434,bot
2012-02-26 21:48:08,True,Supporter of President Trump TRUMP TRAIN 🚂  God Bless America Born Free 64 🙏4 🇺🇸,61336,2708,3255,"Tennessee, USA",dmgmater64,72365,False,3096,human
2011-03-08 20:13:11,False,,13,14,24,unknown,makerofthegames,505,False,3451,human
2009-08-10 08:06:32,True,,1273,28,319,China ,hill8008,2063,False,4027,bot
2009-02-03 03:40:58,True,I want you dear...  😁 https://t.co/yLhrvONGyz,360,16,0,unknown,Littleww,81,False,4215,bot
2016-09-04 03:17:35,True,Professinal Pilot and Inernational Kung Fu Instrutor,64,0,0,unknown,mikejeanpaul252,178,False,1445,human
2013-01-21 20:51:37,False,Wilson | They/He | Genderqueer | Pansexual Game Art & Animation Major,2315,88,275,"Champlain College, VT",actualsprout,3007,False,2766,human
2012-05-06 06:11:51,True,! ➿مصور هاوي ولست بمحترف➿ بني_شهر( ) #عسير#المجاردة# https://t.co/V7aNzecrzAأنا موجود في مفضلتي حياكم,805,44985,49067,المملكة العربية السعودية,aassppmm,71305,False,3027,bot
2017-06-07 02:00:02,True,,438,2,58,"Colorado, USA",AaronCB33,682,False,1169,bot
2014-07-11 18:21:00,False,🌙| La fantasía es mi vida✨| #Steminst | ‏اللهم صَبرًا ‏اللهم جَبرًا ‏اللهم قُوّة,52994,966,190,🇸🇦🇲🇦,_papillonlune,88810,False,2230,human
2010-01-24 17:29:50,False,Streamer,2391,27,89,Tupaciguara  MG Brazil,_phsmatch,3448,False,3859,bot
2007-03-12 19:57:57,False,"writer Crazy Ex-Girlfriend, How I Met Your Mother, Director of Most Likely To Murder on Hulu & https://t.co/AaWMCICvA2…",13755,10340,1349,"Butthole, CA",gregorcorp,4899,True,4908,human
2010-05-23 01:05:37,False,Lives on caffeine & concealer ☕️ Speaks sarcasm fluently 👄 Believes in Disney Magic ✨,8399,1448073,319,My Instagram ,AlexaBliss_WWE,8174,True,3741,human
2012-03-31 06:51:45,False,BJP Floor Leader - MLA - Goshamahal / Official Twitter Account,1076,382783,29,Bhagyanagar (Hyderabad),TigerRajaSingh,6114,True,3063,human
2009-11-18 20:41:54,True,Limousine service in Central Valley.,1172,26,134,Central Valley,farid911,1550,False,3926,bot
