,id,username,text,retweet_count,like_count,created_at
0,1622833220919386113,Askrlfess,tubuh aku byk bulu halus nya atau ngga. aku mau block dia tp ga enak kesannya aku jahat banget huhu,0,0,2023-02-07 05:42:45+00:00
1,1622833218105008128,Askrlfess,"[Askrl] risih ga si kalian kalo di chatt gini terus, padahal aku sm dia ga ada hubungan apa” dan aku udh pernah nol… https://t.co/3MumG0mQ5x",0,0,2023-02-07 05:42:44+00:00
2,1622833122294517760,Askrlfess,[Askrl] https://t.co/s2xLdX0yy2,0,0,2023-02-07 05:42:21+00:00
3,1622833080976416770,Askrlfess,[askrl] krl jogja-solo keberangkatan plg akhir biasanya jam brp guys kalo hari biasa (weekdays)?,0,0,2023-02-07 05:42:11+00:00
4,1622832900050939904,Askrlfess,"[Askrl] Tiap capek skripsi atau workout, mikir.. https://t.co/qnN47PhKgO",1,7,2023-02-07 05:41:28+00:00
5,1622832733478330368,Askrlfess,"[askrl] ga nafsu makan karna lagi patah hati, akhirnya disuapin mama huhu love u mom🥹",0,0,2023-02-07 05:40:49+00:00
6,1622832726691950594,Askrlfess,"[Askrl] udah 2 hari ini gue malessss gila. Sholat juga nunda2, mandi juga sehari sekali kadang, skinkeran juga male… https://t.co/X2iUkecbwp",0,4,2023-02-07 05:40:47+00:00
7,1622832631208636418,Askrlfess,[askrl] yuk bayar pajak https://t.co/n987Vs4uJf,0,2,2023-02-07 05:40:24+00:00
8,1622832071470354433,Askrlfess,[askrl] ya ampun kenapa celana pada ga muat sih,0,0,2023-02-07 05:38:11+00:00
9,1622831501795794945,Askrlfess,"[askrl] gais mau tanya, kalo kita jualan di sh0p33 dan kita aktifin fitur free ongkir, nah kan itu ditanggung sh0p3… https://t.co/PEw1zhyM9V",0,1,2023-02-07 05:35:55+00:00
10,1622831423479771136,Askrlfess,[Askrl] setuju ga kalau jebakan pertama dari cowo adalah sering ngebales story?,0,1,2023-02-07 05:35:36+00:00
11,1622831374439972864,Askrlfess,[askrl] pilihin buat sender dong mending yg mana yaa? Anw ini dari C2 (kl misal ada yg tanya hehe) tia https://t.co/N15mTfLoiH,0,2,2023-02-07 05:35:25+00:00
12,1622831359407583233,Askrlfess,[askrl] guys ada yang tau gak rute krl dari bekasi ke cengkareng (jakarta barat) gimana?,0,1,2023-02-07 05:35:21+00:00
13,1622830293425192961,Askrlfess,"[askrl] guys untuk bulan Mei/Juni ada yang punya niatan untuk kursus di kampung inggris ga? reply dong di lembaga apa, kali aku ikut hehe",0,0,2023-02-07 05:31:07+00:00
14,1622830272587923456,Askrlfess,"[Askrl] buat kalian anak kost, sebulan sering habis berapa?",0,0,2023-02-07 05:31:02+00:00
15,1622830238085566464,Askrlfess,mau nanya dong mata kitten sender knp ya? [askrl] https://t.co/WIMLe4uhsG,0,2,2023-02-07 05:30:54+00:00
16,1622830202547236864,Askrlfess,"[Askrl] sharing yuk, what the luckiest thing u ever had so far?",0,2,2023-02-07 05:30:45+00:00
17,1622830202517876736,Askrlfess,[askrl] KENAPA KALAU HABIS NGEDANCE NGEDANCE GITU TU VIBESNYA SLALU JDI BIKIN NGANTUK YA? Dan kek terkuras energi🤣,0,0,2023-02-07 05:30:45+00:00
18,1622830189234511875,Askrlfess,"maybe i ask for too much :""🤧💔 [askrl] https://t.co/IDvgQxE2QM",0,11,2023-02-07 05:30:42+00:00
19,1622830185430274048,Askrlfess,"akukan lgi gabut yah, menurut km donor darah apa jangan.. aku ky org bingung seminggu ini saking di rumah aja mau n… https://t.co/BraNxkcm3u",0,0,2023-02-07 05:30:41+00:00
20,1622829102402256896,Askrlfess,[Askrl] guys apa aja sih yg harus dipelajari kalo mau jadi aktivis selain public speaking,0,1,2023-02-07 05:26:23+00:00
21,1622828941294858241,Askrlfess,[askrl] lagi patah hati enaknya makan apa ya? lagi ga nafsu makan😔,0,1,2023-02-07 05:25:44+00:00
22,1622828890858336262,Askrlfess,Jam makan siang chat ayang ngga [askrl],0,0,2023-02-07 05:25:32+00:00
23,1622828869710671872,Askrlfess,"cara biar dikit2 g ngmong kasar gmn sih, masa gw nguap aja udh “anjing”. klo misal parah dari mulut udh keluar semu… https://t.co/gvGoe762lF",0,2,2023-02-07 05:25:27+00:00
24,1622828816900161539,Askrlfess,[askrl] afh iyh? https://t.co/3KQFI0x7cw,0,5,2023-02-07 05:25:15+00:00
25,1622828804233392129,Askrlfess,"twit semoga tahun ini aku lulus kuliah dan segera dapet kerja🙏 semangat buat kalian yang sama seperti aku, yok bisa yok🙏🫂",0,2,2023-02-07 05:25:12+00:00
26,1622828803050569729,Askrlfess,"[askrl] selalu ngerasa sedih dan bersalah bgt tiap waktu pembayaran ukt kuliah, bapak udh gak kerja bayar kuliah ca… https://t.co/ENeo9tZ1xV",0,2,2023-02-07 05:25:12+00:00
27,1622828779889659906,Askrlfess,[askrl] ges konser blackpink udah tinggal hitungan hari tp masih belum punya tiket😭 ada info tiket gaaak?,0,1,2023-02-07 05:25:06+00:00
28,1622828593461223425,Askrlfess,[Askrl] gimana caranya biar cepet dpt pacar huhuu sender iri sm temen sender 😕,0,0,2023-02-07 05:24:22+00:00
29,1622828376552767488,Askrlfess,[askrl] tia tu apa maksudnya?,0,2,2023-02-07 05:23:30+00:00
30,1622828199699943424,Askrlfess,[Askrl] kalian ngaktifin google foto ga?,0,0,2023-02-07 05:22:48+00:00
31,1622828145337565185,Askrlfess,"Km kalo ditanya cowok ""what is your dream vacation?"" bakal jawab apa? [Askrl]",0,0,2023-02-07 05:22:35+00:00
32,1622828020087279618,Askrlfess,[askrl] kalian terakhir diputusin karna apa guys,0,0,2023-02-07 05:22:05+00:00
33,1622827855804768257,Askrlfess,[askrl] https://t.co/RTwIEDFPnI,0,0,2023-02-07 05:21:26+00:00
34,1622827679061004288,Askrlfess,[Askrl] saran makanan harga mak 5 rb tp ngenyangin dong,0,1,2023-02-07 05:20:44+00:00
35,1622827164377968640,Askrlfess,[Askrl] guys ada pengguna indih0me yg pernah ngelakuin isolir sementara ga? Aku mah tanya2 dong,0,0,2023-02-07 05:18:41+00:00
36,1622827131544961025,Askrlfess,[askrl] siapa yang sedih? saya min👆🏻😔 https://t.co/zlRExeDXvZ,0,4,2023-02-07 05:18:33+00:00
37,1622826442794098688,Askrlfess,"[Askrl] abis interview duit jatoh😭 ya allah, blom sepnuhnya bisa ikhlas jujurrrr😭",0,1,2023-02-07 05:15:49+00:00
38,1622826434288058370,Askrlfess,"[askrl] kemahalan gak ya? lg mau buka j4s4 print, gais soalnya ini tinta aku 120k an jd ya aku gabisa neken bisa mu… https://t.co/BOmevD13TJ",1,7,2023-02-07 05:15:47+00:00
39,1622826327819816960,Askrlfess,[askrl] terima kasih sebelumnyaa💕 https://t.co/L43arrEq73,0,0,2023-02-07 05:15:21+00:00
40,1622826318915309574,Askrlfess,"[askrl] secape apapun, segamau apapun harus dipaksa biar jadi kebiasaan. kalo udah terbiasa jujur bakal enak banget… https://t.co/cwHjFbiwnC",2,6,2023-02-07 05:15:19+00:00
41,1622826271339335680,Askrlfess,[askrl] plis no salty ya ini sender lagi seriuss bukan becanda! https://t.co/7HDF8fODZ9,23,456,2023-02-07 05:15:08+00:00
42,1622826151726190592,Askrlfess,"[Askrl] HALO! MAU MINTA TOLONG RT/LIKE THREAD INI DONG, SOALNYA UDAH MERESAHKAN BANGET HUHU. MAKASIH YAA 🙏

(titipa… https://t.co/37RphnYHEw",3,5,2023-02-07 05:14:39+00:00
43,1622825952576442373,Askrlfess,"[Askrl] padahal mau buka hati dan deket sama orang lewat twt. Pas di fllw orang langsung liat like -annya, isinya 🔞… https://t.co/8Bo4clcc1p",0,0,2023-02-07 05:13:52+00:00
44,1622825910624985088,Askrlfess,[askrl] ada saran movie/series di n3tflix ga ya? yg bagus bgt gitu huhu lg bosen bgt https://t.co/gwo04nAV6z,0,12,2023-02-07 05:13:42+00:00
45,1622825169508261888,Askrlfess,"[askrl] Salah gak si aku pengen lulus cepet? Jujurly aku gak interest sama jurusan ku. Kayak ngapain lama² di sana,… https://t.co/zvwyscJq1F",0,5,2023-02-07 05:10:45+00:00
46,1622824761977110528,Askrlfess,"hari ini aku apees bgt,spd motor dipake kk ipar lg tanpa ijin pdahal aku mau ke b a n k ,terpaksa jalan kaki mana l… https://t.co/wu8lFzSZsq",0,0,2023-02-07 05:09:08+00:00
47,1622824299148238848,Askrlfess,[askrl] pgn skrinshut ajh https://t.co/5U11aAxFHy,2,10,2023-02-07 05:07:18+00:00
48,1622823792790892545,Askrlfess,[askrl] kalungnya sama kek video clipnya sang dewi-lyodra gess https://t.co/LSf25QypOk https://t.co/PwQdoh0zDt,0,0,2023-02-07 05:05:17+00:00
49,1622823364275638274,Askrlfess,[askrl] ada yg pernah daftar beasiswa boothcamp gitu gak? Trs kalo ada tes itu tesnya teknikal bidang yg kita lamar… https://t.co/7O6kNeVVd8,0,0,2023-02-07 05:03:35+00:00
50,1622823243991355392,Askrlfess,"[Askrl] izin tanya, jadi banya qris yang bener itu kek baca kris benda kan ya? Dulu gua bacanya gitu, terus diomeli… https://t.co/F7vrnVSYaQ",0,5,2023-02-07 05:03:06+00:00
51,1622823043834994688,Askrlfess,"[askrl] guys, polis1 biasanya msh jaga pos ga sih jam setengah 6 sore? gw mau bawa motor tp katanya bahaya kalo plat luar suka di tilang",0,0,2023-02-07 05:02:18+00:00
52,1622823039007354883,Askrlfess,"[askrl] mohon bantuannya guys, thank you!! https://t.co/7BSNO5j5VQ",0,4,2023-02-07 05:02:17+00:00
53,1622822765047984128,Askrlfess,[askrl] menurut kalian 23 thn kemudaan buat nikah ga? 🤔🤔🤔,0,0,2023-02-07 05:01:12+00:00
54,1622822704360591360,Askrlfess,[askrl] guyss minta tolong bantu isi padlet hbd buat pacarku donggg🥺🥺,0,1,2023-02-07 05:00:57+00:00
55,1622822551599841282,Askrlfess,istirahat b a n k selesainya jam brp ya guys??? jam 1 kah??? [askrl],0,0,2023-02-07 05:00:21+00:00
56,1622821834847813632,Askrlfess,[askrl] bagi meme yang saatnya mendengarkan lagu pretender dong yang ada.. thankss guysss,0,1,2023-02-07 04:57:30+00:00
57,1622821754665340928,Askrlfess,"[Askrl] gais kan aku buat wa baru pake nomor yg biasanya kupake buat internetan doang, kok udah ada di dalem grup y… https://t.co/kwh8E93BFe",0,0,2023-02-07 04:57:11+00:00
58,1622821041939816448,Askrlfess,[askrl] info cuaca jogja guyss,0,0,2023-02-07 04:54:21+00:00
59,1622820713752317952,Askrlfess,[Askrl] gigi kalian belang² ngga?ada yg putih ada yang kuning?,0,0,2023-02-07 04:53:03+00:00
60,1622820332926308358,Askrlfess,[askrl] masih belum ikhlas diputusin🥺,1,2,2023-02-07 04:51:32+00:00
61,1622820252030758914,Askrlfess,"Maaf kalo ga sopan, aku mau nanya
Kalo kalian dpt undangan nikah dari temen yg sekedar kenal dan acaranya diluar ko… https://t.co/81Uo0wf1yj",0,2,2023-02-07 04:51:13+00:00
62,1622819070646321153,Askrlfess,"[askrl] kalian yg pake ip 12 cepet panas gasi hpnya? tips dong bias ga cepet panas pas dimainin, gua ga dimainin pa… https://t.co/OVEO9Ta3d0",0,0,2023-02-07 04:46:31+00:00
63,1622818946331344901,Askrlfess,semoga bisa menyusul😭🙏,0,0,2023-02-07 04:46:01+00:00
64,1622818945173712896,Askrlfess,[Askrl] Tau ga sih rasanya ada orang yg dulu ngejar2 kita tapi kitanya gabisa buka hati buat dia and finally hari i… https://t.co/QlIm8CZZIJ,0,4,2023-02-07 04:46:01+00:00
