,id,username,text,retweet_count,like_count,created_at
0,1624606050472312832,intanorii,Bersihin rumah tuh healing kalau cocok sama playlistnya.,47,233,2023-02-12 03:07:20+00:00
1,1624394921183707136,intanorii,@utaeeeeee Bintang satu buat yg ghosting gajelas,1,0,2023-02-11 13:08:23+00:00
2,1624384068208164865,intanorii,When u ngelakuin act of service yang sebenernya pengen lo dapet juga.,287,1222,2023-02-11 12:25:16+00:00
3,1624383213807476736,intanorii,@azmi_levi Gas aja meskipun sendiri,0,2,2023-02-11 12:21:52+00:00
4,1624379163598786562,intanorii,@afritanurbaiti Kek.. tau gitu gausa siap2,0,0,2023-02-11 12:05:46+00:00
5,1624379063552053248,intanorii,@Santi_nya Pura2 dalam menutupi masalah adalah keahlianku,1,1,2023-02-11 12:05:22+00:00
6,1624369498395668480,intanorii,"Gue pernah mau diajak main tapi dibatalin mendadak. Padahal udah effort dandan, akhirnya gw pergi sendiri biar gak sia-sia, hehe.",205,1096,2023-02-11 11:27:22+00:00
7,1624239997858758658,intanorii,Orang ga enakan mau mencet klakson aja ga jadi.,1616,7499,2023-02-11 02:52:47+00:00
8,1624020890844528640,intanorii,"Minimal mandi minimal mandi, minimal waras.",475,2109,2023-02-10 12:22:07+00:00
9,1624007179929001984,intanorii,"Padahal setia tuh enak banget. Gausah kenalan lagi, gausah pdkt lagi, gausah nerima kekurangannya lagi. Udah, tingg… https://t.co/gALetsGsZr",1536,5710,2023-02-10 11:27:38+00:00
10,1623872265745223680,intanorii,"Kalau orang tau serumit apa masalahku, pasti pada ga akan bilang “enak ya jadi kamu”",403,1428,2023-02-10 02:31:32+00:00
11,1623668557694500865,intanorii,Terharu kalau ada orang yang inget hal kecil tentang kita.,4133,13117,2023-02-09 13:02:05+00:00
12,1623658914305937409,intanorii,RT @JjHerlambang: @intanorii Sajian khas berselera dari sarapan hingga makan malam. https://t.co/1X14949HrN,1,0,2023-02-09 12:23:45+00:00
13,1623655216754360321,intanorii,P adu foto makanan https://t.co/VOkQpVb8Db,31,409,2023-02-09 12:09:04+00:00
14,1623523840684077056,intanorii,"Bingung sama diri sendiri. Kadang pengen nikah, kadang pengen kaya.",1810,4735,2023-02-09 03:27:01+00:00
15,1623319786079031296,intanorii,Masih heran kenapa kalau semakin boros makin ada aja rejekinya.,271,1355,2023-02-08 13:56:11+00:00
16,1623299241417527302,intanorii,"Ketika lo ngira kalau udah dikenalin orang tuanya, tandanya dia serius😁🤡",388,3009,2023-02-08 12:34:33+00:00
17,1623286448240873472,intanorii,"Suka apa enggaknya sama orang kadang bukan soal tampang, tapi soal typing.",89,726,2023-02-08 11:43:43+00:00
18,1623262206971502592,intanorii,RT @kamusiapanya_: @intanorii muthu alan,2,0,2023-02-08 10:07:23+00:00
19,1623160051333734400,intanorii,"@Santi_nya Kadang pengen disayang, kadang pengen uang.",1,17,2023-02-08 03:21:27+00:00
20,1623159382992371712,intanorii,"Jarang foto diri sendiri, soalnya lebih menarik fotoin langit dan makanan.",670,3038,2023-02-08 03:18:48+00:00
21,1622967622202695680,intanorii,"Badan padahal diem doang, tapi pikiran yang bikin capek.",1227,3570,2023-02-07 14:36:49+00:00
22,1622927999430705152,intanorii,Saran nama anak yang ada unsur twitternya,75,1869,2023-02-07 11:59:22+00:00
23,1622920083298467840,intanorii,"Dikira sibuk ngurus percintaan, padahal mah lagi benerin kehidupan.",500,1788,2023-02-07 11:27:54+00:00
24,1622898944752893952,intanorii,@MelindaAghnia 😂 https://t.co/0h2g3Qphfn,0,3,2023-02-07 10:03:55+00:00
25,1622586951126880256,intanorii,"Aku kalau lagi seneng bisa bikin story tiap hari berturut-turut. Tapi kalau lagi males, jangankan bikin story buka wa aja udah males.",130,489,2023-02-06 13:24:10+00:00
26,1622583006518198272,intanorii,Punya pasangan yang sama2 suka jajan itu selain ngebuat kenyang juga ngebuat miskin.,95,613,2023-02-06 13:08:29+00:00
27,1622567091911135232,intanorii,"Padahal uang sendiri, ada dikantong sendiri, tapi kok pas nemu bahagia banget ya",197,1230,2023-02-06 12:05:15+00:00
28,1622420438998728705,intanorii,"Prinsip saat ini, kalau masih bisa sendiri, ngapain minta tolong orang lain.",501,1624,2023-02-06 02:22:30+00:00
29,1622214721750589442,intanorii,"Sering buat story dong, karna cuma dari situ aku bisa tau kabar kamu.",315,1771,2023-02-05 12:45:03+00:00
30,1622194907606827008,intanorii,Run dari orang yang salah tapi bukannya minta maaf malah ngebuat kamu ngerasa bersalah.,827,2907,2023-02-05 11:26:19+00:00
31,1622174189838041090,intanorii,@yaelahcan Terutama ngetawain diri sendiri karna udah jadi orang tolol,1,12,2023-02-05 10:04:00+00:00
32,1621863549525176320,intanorii,"@SerbaSerbi01 Bukan orang yang tepat, mungkin.",1,8,2023-02-04 13:29:37+00:00
33,1621863441442152450,intanorii,@_rkhdyt Pen dimanja sama ayankkk,0,2,2023-02-04 13:29:11+00:00
34,1621863329886257154,intanorii,@Santi_nya Jangan main2 kalo cewe udah stalking😎,0,12,2023-02-04 13:28:45+00:00
35,1621862714032390145,intanorii,@utaeeeeee Setuju lah bidadari q,0,1,2023-02-04 13:26:18+00:00
36,1621851695885029377,intanorii,@convomf Rasa kulkas bener2 pas kebuka aja bikin mual https://t.co/cSZwLRnO0l,16,1100,2023-02-04 12:42:31+00:00
37,1621851158783627264,intanorii,@thaliawlndr Cewe gemoyq💖,0,3,2023-02-04 12:40:23+00:00
38,1621842530362073090,intanorii,"Kalo siang apa2 bisa sendiri, kalo malem pengen di “utututu tayangku cintakuuu hari ini ngapain aja sini cerita”",2608,8077,2023-02-04 12:06:06+00:00
39,1621836345663696899,intanorii,"Aku ngerti fashion, aku cuma ga punya duit aja buat ngikutinnya😔",1220,5371,2023-02-04 11:41:31+00:00
40,1621693294525952003,intanorii,Diumur segini mikir kapan ya punya rumah yang halamannya luas😔,175,1079,2023-02-04 02:13:05+00:00
41,1621533837170974721,intanorii,@Capersit_ Anggur enak bgttttt,0,0,2023-02-03 15:39:28+00:00
42,1621509082531377156,intanorii,@diddekarisma Tunggu yh oleh2 dari q,0,2,2023-02-03 14:01:06+00:00
43,1621496248145678336,intanorii,"Emang sih aku bisa berteman sama siapa aja, tapi kalau untuk save nomer WA, maaf ya aku pemilih🙏🏻",594,2183,2023-02-03 13:10:06+00:00
44,1621495522904383489,intanorii,@whatsupram Apa itu ayang???,0,0,2023-02-03 13:07:13+00:00
45,1621493906339954691,intanorii,@nadilamaftiful1 Pengen di “utuututuuu tayangku”,7,59,2023-02-03 13:00:47+00:00
46,1621493831207366656,intanorii,@Riosahrul5 Hahaha yang skrng ini bikim baper,0,1,2023-02-03 13:00:29+00:00
47,1621488545751007232,intanorii,"Enggak lagi suka sama siapapun dan enggak ngejar apapun, kadang bikin hidup sedikit lebih tenang.",243,1015,2023-02-03 12:39:29+00:00
48,1621473338777563136,intanorii,@dyhayuw Sabarin aja dulu😔,0,2,2023-02-03 11:39:04+00:00
49,1621471179231092737,intanorii,"Bayangin kalian yang apa2 bisa sendiri, tapi ketemu cowok yg ngasih act of service gini apa gak mleyot???😭 https://t.co/u4feLEMpst",1716,8579,2023-02-03 11:30:29+00:00
50,1621464894028812288,intanorii,@Santi_nya Pengen dapet yg gituuuu :(,0,5,2023-02-03 11:05:30+00:00
