,id,username,text,retweet_count,like_count,created_at
0,1622623482793316353,starfess,-hi last music video yang kalian tonton di yutub apaaa,0,0,2023-02-06 15:49:19+00:00
1,1622623188449648640,starfess,"-hey HII! SAPA YG HABIS WAMIL MALAH TAMBAH CUTE?? 😭

 https://t.co/gTMvGFo8qk",7,26,2023-02-06 15:48:09+00:00
2,1622622544909193218,starfess,-hey Mark lee bikin serasa ingin aku tarik ke altar 😭 https://t.co/9z9XM8Q9Q9,1,13,2023-02-06 15:45:36+00:00
3,1622622451330068480,starfess,"-hi pas nonton interview nct 127 salfok ke outfit miyeon yuqi, cocok jadi inspirasi outfit ke konser nct nih 👍 https://t.co/Vki3sH0nxK",0,5,2023-02-06 15:45:13+00:00
4,1622621607805206530,starfess,"-hey idol berambut blonde/warna warni, mari tunjukkan pesonamu https://t.co/8Nxbs4Rk2Z",0,3,2023-02-06 15:41:52+00:00
5,1622621405753004034,starfess,-base serim ekspresinya bikin salfok kayak bapak bapak yang lagi natap anak kebanggaannya 😂 senyumnya bapak-bapak b… https://t.co/dzkawBthh4,0,3,2023-02-06 15:41:04+00:00
6,1622621251348082689,starfess,-guys sebutin grup idol kpop yg underrated tapi lagu nya bener2 enak nd easy listening 🎧,0,1,2023-02-06 15:40:27+00:00
7,1622621178803400704,starfess,"Kalo seandainya grup idol tu dibentuk berdasarkan line kalian bakal stan grup dari line berapa?

Me: 97l ma 02l -guys",0,1,2023-02-06 15:40:10+00:00
8,1622620422130003970,starfess,"-hey lupa kapan terakhir kali dengerin lagu ini.. :') dulu bucin bgt ma lagu ini ampe di puter 24/7 ngga ganti2😆 

 https://t.co/Lge7ElMHhH",1,18,2023-02-06 15:37:10+00:00
9,1622620220170055680,starfess,"-hey tell me ur top 4 girl idol

mine : https://t.co/g39Ji8lrkU",0,56,2023-02-06 15:36:21+00:00
10,1622618890567315456,starfess,-guys Akhir nya ada interaksi dari dua cimol ini😭 🙏🏻 🙏🏻 https://t.co/6VaAmEKMEY,53,541,2023-02-06 15:31:04+00:00
11,1622618776595480576,starfess,-hey saranin bias kalian dongs ~ ~ ~ ~,0,1,2023-02-06 15:30:37+00:00
12,1622617489623638018,starfess,-idol kenapa harus nyerah kalau BSS sama Youngji minta buat fighting 💪🏻💪🏻 semangat semua yang lagi berjuang!!!!  https://t.co/NpTBZkFmlX,4,26,2023-02-06 15:25:30+00:00
13,1622616658887192576,starfess,"-idol are you guys sure that Phuwin is a human??? INI MAH ANIME BANGET 😭☝️

cr. on pict https://t.co/pjtNU4bKle",0,11,2023-02-06 15:22:12+00:00
14,1622616551299108864,starfess,-base MINA SHARON MYOI ‼️💗 MINA SHARON MYOI ‼️💗 https://t.co/kMYYwUBSyF,7,57,2023-02-06 15:21:47+00:00
15,1622615459265933312,starfess,"I'll pray for you all the time
If I could be by your side
I'll give you all my life 

🎐 seasons - wave to earth, si… https://t.co/oLEdIL0k6n",2,14,2023-02-06 15:17:26+00:00
16,1622615243414441987,starfess,-hi kenapa ya kalo liat jungwon itu bawaannya pengen sender bedongin kek bayiii😭😭😭😭 https://t.co/zGjTFN1J9h,0,9,2023-02-06 15:16:35+00:00
17,1622615053911609345,starfess,phuwin lama lama mirip jake enha ga sih? -guys https://t.co/fBFip1DHvo,0,4,2023-02-06 15:15:50+00:00
18,1622614896570695681,starfess,"-hey Mina ini aura bangsawannya keliatan bgt ga sih, maksudnya kaya aura kelas atasnya itu menonjol bgt woy. cakepn… https://t.co/yfwIGtqgyK",3,10,2023-02-06 15:15:12+00:00
19,1622614862919782400,starfess,"-idol Trio comedian dan cheerleadersnya SVT mau nyemangatin kamu nih!

Katanya, meskipun sulit harus tetep keep goi… https://t.co/VfWkqxfhNs",2,11,2023-02-06 15:15:04+00:00
20,1622614293543002112,starfess,"-guys yunjin tuh bener"" definisi born to be idol emang bener siap banget jadi idol mana cewenya pinter,ga jaim cake… https://t.co/qnGoe5uoVy",0,5,2023-02-06 15:12:48+00:00
21,1622613805506383872,starfess,-hi Kenapa yaa aku ngeliat jongho tuh kayak mirip kim seonho 🫠  https://t.co/Mryfl4lA5W,7,10,2023-02-06 15:10:52+00:00
22,1622613520205643776,starfess,"-idol Sirkel orang orang random nan frik. Tapi, tetep aja diriku ini pengen join juga 😔😔 https://t.co/iJELykK0HQ",0,5,2023-02-06 15:09:44+00:00
23,1622611519405182976,starfess,"-hey 

spill lagu b-side bias kamu yang wajib didengerin yorobun!!!",1,1,2023-02-06 15:01:47+00:00
24,1622611247354216450,starfess,-idol Yang aus yang aus ️️ ️️️️️️ ️️️️️️ ️️️️️️ ️️️️ https://t.co/2ksyG4Di3w,5,36,2023-02-06 15:00:42+00:00
25,1622611110317920257,starfess,"-hey drop foto idol kalian as model dong 
me: https://t.co/7YnKyu08Vj",1,36,2023-02-06 15:00:10+00:00
26,1622610521114705920,starfess,-guys mabelz from pixxie 🥹🤏🏻                          https://t.co/moZrbCe3Iw,0,7,2023-02-06 14:57:49+00:00
27,1622610066846412801,starfess,"-hey Trainee Produce 101 S2 Bae Jinyoung 🥺😍 
cr polar night https://t.co/kgymDJaJJf",9,91,2023-02-06 14:56:01+00:00
28,1622610043840663552,starfess,"-hi kalian kepikiran punya hidup kayak Jeonghan ngga gais? Banyak yg bisa diceritain, tapi semoga hari kalian tidak… https://t.co/PAeEVyMph6",1,13,2023-02-06 14:55:55+00:00
29,1622609859182223360,starfess,-hi idol yg sering foto pemandangan siapaa aja yaa? Kalau boleh drop foto2nya jg dong🤗 thankyouu,0,4,2023-02-06 14:55:11+00:00
30,1622608860933677056,starfess,"-base ini KEITA pas jadi trainee di survival YGTB, dan sekarang dia di survival Boys Planet. 

talentnya no kaleng2… https://t.co/sF2qkkfnwd",1,5,2023-02-06 14:51:13+00:00
31,1622608703664029696,starfess,"-hey maaf kalo tmi tapi aku stan NCT 127 gara² lihat video Taeyong nyalepin ikan 😭

 https://t.co/Qv4VXUB8ti",3,32,2023-02-06 14:50:36+00:00
32,1622608684810649602,starfess,-guys Kenalin boygroup yg terbangnya kejauhan nih. Ada yg masih inget mereka? Kangen ngga? https://t.co/xMgLXoBxQy,0,27,2023-02-06 14:50:31+00:00
33,1622608598319927296,starfess,-idol kasih tunjuk idol kalian yang kayak gini 😭 https://t.co/XHw1JEN7br,5,63,2023-02-06 14:50:11+00:00
34,1622608593320308736,starfess,"-hi Let's reminisce with Trouble Maker Jongyeol version 🤩🤩

 https://t.co/1GYcMJvZYH",8,54,2023-02-06 14:50:09+00:00
35,1622608038594252802,starfess,-hey menurut sender lirik lagu Niki tuh bener bener ✨lain✨ coba rep penggalan lirik lagu Niki yg menurut kalian bag… https://t.co/ErdAG6NzDk,0,4,2023-02-06 14:47:57+00:00
