,id,username,text,retweet_count,like_count,created_at
0,1622537675352821760,JKT48Lives,"[INGFO]

Live GoPlay JKT48: Gemesh   ""Fast &amp; Curious"" with Raisha &amp; Freya telah berakhir.
JKT48: Gemesh   ""Fast &amp; C… https://t.co/Aj4z7Wd6Vm",0,3,2023-02-06 10:08:21+00:00
1,1622520482216960007,JKT48Lives,"JKT48: Gemesh - ""Fast &amp; Curious"" with Raisha &amp; Freya live at GoPlay App!

📅 Senin, 6 Feb 2023 | 16:00:00 WIB
🔗 Tont… https://t.co/aaDzQ1qMLQ",0,4,2023-02-06 09:00:02+00:00
2,1622384591414730753,JKT48Lives,"Selamat pagi...
Hari ini ada GoPlay!

JKT48: Gemesh - ""Fast &amp; Curious"" with Raisha &amp; Freya
📅 Senin, 6 Feb 2023 
🕒 1… https://t.co/HuBCG6JKLw",7,44,2023-02-06 00:00:03+00:00
3,1622180158596677632,JKT48Lives,"[INGFO]

Live Showroom Cepio telah berakhir.
Cepio mewarnai harimu selama 00:56:38

👥 6513 penonton
🎁 122900G (± Rp 14.142.265,23)",0,19,2023-02-05 10:27:43+00:00
4,1622165909958787072,JKT48Lives,"Si Cepio live showroom!

📅 Minggu, 5 Feb 2023 | 16:31:02 WIB
🔗 Tonton di Showroom: https://t.co/JHYjF0jSML
🔗 Tonton… https://t.co/D89ZMuuEFi",0,10,2023-02-05 09:31:05+00:00
5,1621920194518982656,JKT48Lives,"[INGFO]

Live Showroom Phi Sisca telah berakhir.
Phi Sisca mewarnai harimu selama 01:00:37

👥 3199 penonton
🎁 14180G (± Rp 1.631.518,24)",0,6,2023-02-04 17:14:42+00:00
6,1621916166787563521,JKT48Lives,"[INGFO]

Live Showroom Amanda telah berakhir.
Amanda mewarnai harimu selama 00:46:35

👥 2055 penonton
🎁 17440G (± Rp 2.006.606,36)",0,4,2023-02-04 16:58:42+00:00
7,1621904939264925699,JKT48Lives,"Si Phi Sisca live showroom!

📅 Sabtu, 4 Feb 2023 | 23:14:03 WIB
🔗 Tonton di Showroom: https://t.co/wf16vsYzLE
🔗 Ton… https://t.co/OIU0gJEMI0",0,7,2023-02-04 16:14:05+00:00
8,1621904443552800768,JKT48Lives,"Si Amanda live showroom!

📅 Sabtu, 4 Feb 2023 | 23:12:05 WIB
🔗 Tonton di Showroom: https://t.co/CdVCXYVsf7
🔗 Tonton… https://t.co/tXFwq6ZtJn",0,9,2023-02-04 16:12:07+00:00
9,1621826408103219200,JKT48Lives,"[INGFO]

Live Showroom Lia telah berakhir.
Lia mewarnai harimu selama 00:39:57

👥 1898 penonton
🎁 21420G (± Rp 2.464.536,02)",0,9,2023-02-04 11:02:02+00:00
10,1621816351596679168,JKT48Lives,"Si Lia live showroom!

📅 Sabtu, 4 Feb 2023 | 17:22:03 WIB
🔗 Tonton di Showroom: https://t.co/TSkIwMeNju
🔗 Tonton fu… https://t.co/zhDUMNQxec",0,11,2023-02-04 10:22:04+00:00
11,1621795698239836161,JKT48Lives,"📊 JKT48 PM Weekly Recap
📅 2023/02/04

TOP 5:
1. Lia - 174 PM
2. Jessi - 98 PM
3. Fiony - 70 PM
4. Ashel - 69 PM
5.… https://t.co/TIEHjyD8JW",6,20,2023-02-04 09:00:00+00:00
12,1621780600653856768,JKT48Lives,"Top 5 member sering SR minggu ini
1. Jessi (+3)
2. Amanda (+2)
3. Lia (+1)
4. Kathrina (+1)
5. Feni (+1)
Tgl: 2023/02/04",0,12,2023-02-04 08:00:01+00:00
