,id,username,text,retweet_count,like_count,created_at
0,1624398057965236224,adityajuliannn,@inkamwrni *mencari meme tidak menarik*,0,1,2023-02-11 13:20:51+00:00
1,1624394911037685762,adityajuliannn,"@radenrauf tinggal gondrongin aja udah mirip banget itu om, yakin banget

bismillah ovo 100rb",0,9,2023-02-11 13:08:21+00:00
2,1624394299654950913,adityajuliannn,@sintakayaknyaa kasian😭,0,1,2023-02-11 13:05:55+00:00
3,1624390779887316992,adityajuliannn,@sukaavvan untungnya iya,0,0,2023-02-11 12:51:56+00:00
4,1624390750145499136,adityajuliannn,@Coliiboy iya bgt bang,0,0,2023-02-11 12:51:49+00:00
5,1624390041547186179,adityajuliannn,"malem minggu nggak malem minggu sama aja, nggak ada yang menarik",144,694,2023-02-11 12:49:00+00:00
6,1624387125268611072,adityajuliannn,@briankhrisna stiker jatim park,0,2,2023-02-11 12:37:24+00:00
7,1624386908842528776,adityajuliannn,"@ayubsr diam memperhatikan
bergerak napuk i sak kabehan",0,7,2023-02-11 12:36:33+00:00
8,1624375709073547264,adityajuliannn,@Shellaemeliana1 pap lagi sama ayang,0,5,2023-02-11 11:52:03+00:00
9,1624375351819513856,adityajuliannn,@aldysuhanda_ saya aslinya capek banget kangen terus tapi gak ketemu2,12,72,2023-02-11 11:50:37+00:00
10,1624373758629920769,adityajuliannn,@Shellaemeliana1 pink😃,0,4,2023-02-11 11:44:18+00:00
11,1624373674345369600,adityajuliannn,"@andihiyat life goals

abis beli yang dulu gak bisa kebeli masih bisa beli yang dulu gak bisa kebeli lainnya",0,27,2023-02-11 11:43:58+00:00
12,1624037131105763328,adityajuliannn,"sadarlah bahwa dia bukan lagi tarik ulur, tapi emang ogah sama kamu",148,958,2023-02-10 13:26:39+00:00
13,1624036956832432128,adityajuliannn,@ayubsr @DisneyPlusID nunggu episode 4 sekalian besok boleh gak?,0,1,2023-02-10 13:25:58+00:00
14,1624019730142220289,adityajuliannn,@Shellaemeliana1 kalo udah sayang sama orang jangan lupa untuk tetep sayang ke diri sendiri,3,33,2023-02-10 12:17:31+00:00
15,1624019600051691520,adityajuliannn,@uttazt_ @Shellaemeliana1 mau berapa syggg?,0,1,2023-02-10 12:17:00+00:00
16,1624012418027499520,adityajuliannn,@Shellaemeliana1 pls itu yg satu sisain buat akuuu,0,0,2023-02-10 11:48:27+00:00
17,1624010492212838403,adityajuliannn,@sintakayaknyaa ini include sayur2nya itu?,0,1,2023-02-10 11:40:48+00:00
18,1623995594816786433,adityajuliannn,"@aishakinaaa oke, masukin ke list destinasi untuk kabur dulukkk",0,1,2023-02-10 10:41:36+00:00
19,1623851224763367424,adityajuliannn,tetaplah menjalani hari meski udah gak mood sedari pagi,701,2362,2023-02-10 01:07:56+00:00
20,1623672844407439360,adityajuliannn,capek gak sih pura pura gapapa mulu?,915,4120,2023-02-09 13:19:07+00:00
21,1623655529183854594,adityajuliannn,"@Shellaemeliana1 aku kira dunia ini yang gak beres, ternyata diriku sendiri yang gak masuk",0,7,2023-02-09 12:10:18+00:00
22,1623653460527955970,adityajuliannn,"@sintakayaknyaa cabenya sisihin dulu, baru ngobrol lagi",0,1,2023-02-09 12:02:05+00:00
23,1623653311743406080,adityajuliannn,@Santi_nya dih,0,2,2023-02-09 12:01:30+00:00
24,1623653109322113024,adityajuliannn,@uttazt_ sesekali langsung tumbali aja kali ya,0,16,2023-02-09 12:00:41+00:00
25,1623615442714787841,adityajuliannn,@handokotjung dalam hatiku https://t.co/LJGTrmdJue,9,91,2023-02-09 09:31:01+00:00
26,1623330793190998019,adityajuliannn,"@usaisudahhh @rrrrrruto bang, jangan bang😭",0,1,2023-02-08 14:39:55+00:00
27,1623327410237349889,adityajuliannn,@sintakayaknyaa mau anak cewe pertama juga bakal kalah ama emak,0,4,2023-02-08 14:26:29+00:00
28,1623307631271231488,adityajuliannn,"males banget berurusan sama hal2 yang cuma bikin ribet
udah cukup aku lelah seharian ini, waktunya untuk menyendiri demi ketenangan batin",95,443,2023-02-08 13:07:53+00:00
29,1623294214560956417,adityajuliannn,"@aldysuhanda_ teruntuk tembok kamar, bisakah kau biacara dan asik kalo diajak ngobrol? kalo bisa ayok",8,37,2023-02-08 12:14:34+00:00
30,1623284552788770817,adityajuliannn,@ucisyahrina @RyanSebud 😭😭😭,0,0,2023-02-08 11:36:11+00:00
31,1623207664787546112,adityajuliannn,@sintakayaknyaa pen meninggoy,0,1,2023-02-08 06:30:39+00:00
32,1623130641364824066,adityajuliannn,@ilmialiyah69 siapa aja tuh?,0,1,2023-02-08 01:24:35+00:00
33,1622950767379509248,adityajuliannn,"@sintakayaknyaa cemburu ya samperin lah, terus garuk2 piso ke meja",0,10,2023-02-07 13:29:50+00:00
34,1622950542535438336,adityajuliannn,2023 baru 2 bulan tapi udah amburadul,720,1847,2023-02-07 13:28:56+00:00
35,1622938801940340737,adityajuliannn,@Shellaemeliana1 punya rencana apa emang?,0,0,2023-02-07 12:42:17+00:00
36,1622933647010697217,adityajuliannn,@ayubsr @DisneyPlusID ini baru ya?,0,0,2023-02-07 12:21:48+00:00
37,1622929322226126848,adityajuliannn,@Santi_nya gigi udah abis tuh,0,0,2023-02-07 12:04:37+00:00
38,1622929086699167745,adityajuliannn,@yawdahsihhh kak..,0,0,2023-02-07 12:03:41+00:00
39,1622928937646178305,adityajuliannn,@Santi_nya sukanya apa kak?,0,0,2023-02-07 12:03:05+00:00
40,1622928323885293569,adityajuliannn,"kalo bisa milih, kalian pengen hidup sampe umur berapa?",8,296,2023-02-07 12:00:39+00:00
41,1622602564918444034,adityajuliannn,"udah malem, tenangkan pikiran
gak usah membebani otak dengan ngebanding2in diri kita dengan orang lain
karena udah… https://t.co/lDWhh7RA59",83,385,2023-02-06 14:26:12+00:00
42,1622587073088864257,adityajuliannn,"terserah ajalah, lagi gak pengen diribetin sama hal yang cuma bikin pusing",429,1163,2023-02-06 13:24:39+00:00
43,1622570738199973888,adityajuliannn,@Noviychan22 sama brou,0,0,2023-02-06 12:19:44+00:00
44,1622570644033638400,adityajuliannn,@Santi_nya samperin beliin hp baru,0,2,2023-02-06 12:19:22+00:00
45,1622570566829105152,adityajuliannn,@uttazt_ ya masa gak boleh capek ya kan,2,18,2023-02-06 12:19:03+00:00
46,1622570454547595264,adityajuliannn,@Shellaemeliana1 gak bisa berkata kata,0,1,2023-02-06 12:18:36+00:00
47,1622570049927262208,adityajuliannn,kamu lagi baik baik aja apa lagi kacau balau luluh lantah pengen nangis pengen pelukan?,361,2063,2023-02-06 12:17:00+00:00
48,1622569780397092864,adityajuliannn,@briankhrisna cancer bang,0,17,2023-02-06 12:15:56+00:00
49,1622565212548370432,adityajuliannn,"@Shellaemeliana1 kok pada bilang enak, aku jadi pengen",0,1,2023-02-06 11:57:47+00:00
50,1622435354988154881,adityajuliannn,@Shellaemeliana1 @utaeeeeee tinggal nabung,0,1,2023-02-06 03:21:46+00:00
51,1622232891379040261,adityajuliannn,"mau sepinter apa nyembunyiinnya
yang namanya kecewa pasti keliatan",438,1719,2023-02-05 13:57:15+00:00
52,1622210645147127810,adityajuliannn,@Shellaemeliana1 😊,0,4,2023-02-05 12:28:51+00:00
53,1622202940340715522,adityajuliannn,@uttazt_ semoga aja semesta ngasih karma karena kalo enggak aku sendiri yang turun tangan.,15,71,2023-02-05 11:58:14+00:00
54,1622202788985077764,adityajuliannn,@usaisudahhh 10 match terakhir menang sekali kalo gak salah denger,0,7,2023-02-05 11:57:38+00:00
55,1622201125171765250,adityajuliannn,@Santi_nya pulang a?,0,5,2023-02-05 11:51:01+00:00
56,1621858626943225856,adityajuliannn,@ayubsr gamau w,0,9,2023-02-04 13:10:03+00:00
57,1621842214497431553,adityajuliannn,@aldysuhanda_ bismillah punya banyak cinta alias duit,0,2,2023-02-04 12:04:50+00:00
58,1621841669862866944,adityajuliannn,@Shellaemeliana1 TAPI KAN,0,0,2023-02-04 12:02:41+00:00
