,id,username,text,retweet_count,like_count,created_at
0,1624436510643863552,HeyBudie,"Dibilang jauh tidak, dibilang dekat juga tidak mungkin.",231,1075,2023-02-11 15:53:39+00:00
1,1624051782409125890,HeyBudie,"Kadang maunya sendiri, kadang maunya ditemani.",598,2797,2023-02-10 14:24:53+00:00
2,1623690801476939776,HeyBudie,"Bilangnya tidak dekat dengan siapa-siapa, ternyata ada hati yang harus dijaga.",500,3013,2023-02-09 14:30:28+00:00
3,1623686373747326977,HeyBudie,"Gampang suka, sulit memilikinya.",423,2191,2023-02-09 14:12:52+00:00
4,1623355760393732096,HeyBudie,"Bilangnya gapapa, tapi ngetiknya sambil nyesek luar biasa.",1056,4120,2023-02-08 16:19:08+00:00
5,1623286056392208384,HeyBudie,"Tetiba tercium aroma parfumnya, padahal sudah lama tak bersama.",475,3087,2023-02-08 11:42:09+00:00
6,1623255694945456129,HeyBudie,"Sama seperti dulu, berharap pada orang yang keliru.",294,1499,2023-02-08 09:41:30+00:00
7,1623008902697873409,HeyBudie,Kangenmu berujung dibales stiker.,176,1331,2023-02-07 17:20:51+00:00
8,1622927995500658691,HeyBudie,"Setidaknya pernah sat-set, meski sekarang dia ke kamu males banget.",300,1527,2023-02-07 11:59:21+00:00
9,1622617275726712833,HeyBudie,"Males balas chat, kalau dari dia enggak.",539,2387,2023-02-06 15:24:39+00:00
10,1622586199385968641,HeyBudie,Menyenangkan bila dekatnya bisa diulang.,576,2294,2023-02-06 13:21:10+00:00
11,1622260866933727233,HeyBudie,"Berhasil membuat dia tertawa, tapi tidak berhasil membuat dia suka.",576,3160,2023-02-05 15:48:25+00:00
12,1621919071968305152,HeyBudie,"Kamu sering kangen, dia sudah bosen.",882,4192,2023-02-04 17:10:15+00:00
13,1621897506841042947,HeyBudie,"Cuma penasaran, nggak usah berharap berlebihan.",364,1668,2023-02-04 15:44:33+00:00
14,1621558069267398656,HeyBudie,Tidak menanyakanmu bukan berarti tidak kangen kamu.,1704,5928,2023-02-03 17:15:45+00:00
15,1621154692893151235,HeyBudie,Loh sudah nggak dekat lagi ya?,1366,8228,2023-02-02 14:32:53+00:00
16,1621112434919604225,HeyBudie,"Nggak benci, nggak pergi, dan nggak bisa bersama lagi.",579,2597,2023-02-02 11:44:57+00:00
17,1620696995446009857,HeyBudie,"Jika Januari kemarin banyak capeknya, semoga Februari ini banyak pemasukannya.",702,3058,2023-02-01 08:14:09+00:00
18,1620443500235087873,HeyBudie,"Bertahan sakit, beranjak pergi sulit.",814,3283,2023-01-31 15:26:51+00:00
19,1620360892629258245,HeyBudie,"Nggak perlu ditunggu, meski dia sudah buka hati juga belum tentu untukmu.",210,958,2023-01-31 09:58:36+00:00
20,1620305668606664706,HeyBudie,"Terbiasa sendiri, tapi tak terbiasa dengan sepi.",837,2890,2023-01-31 06:19:09+00:00
21,1620091540466171906,HeyBudie,"Dia selalu perhatian, tapi cuma dianggap teman.",192,1219,2023-01-30 16:08:17+00:00
22,1620074215406968833,HeyBudie,"Meski sikapmu dingin, kuharap kau tak berpaling.",233,1128,2023-01-30 14:59:27+00:00
23,1619725468286226439,HeyBudie,"Nggak tenggelam, tapi chatmu didiamkan.",890,4626,2023-01-29 15:53:39+00:00
24,1619379426684456960,HeyBudie,Hehe kangen.,1216,3144,2023-01-28 16:58:36+00:00
25,1619342313490366464,HeyBudie,Semakin hari semakin terasa sepi.,943,2994,2023-01-28 14:31:08+00:00
26,1619003384207663105,HeyBudie,"Biasanya selalu ngabarin, sekarang nggak pernah ada kabar.",646,2986,2023-01-27 16:04:21+00:00
27,1618971833310810113,HeyBudie,"Sudah tau kalau dia bakalan pergi, kamu malah nyaman lagi.",883,4223,2023-01-27 13:58:58+00:00
28,1618845333664182272,HeyBudie,"Sengaja react story biar ada obrolan lagi, ternyata dia tetap nggak peduli.",220,1628,2023-01-27 05:36:18+00:00
29,1618622103095513089,HeyBudie,"Dia tidak lupa, mungkin sudah malas denganmu saja.",1824,6721,2023-01-26 14:49:16+00:00
30,1618295181291433984,HeyBudie,Kalau dipikir-pikir dia nggak bakalan naksir.,277,1294,2023-01-25 17:10:12+00:00
31,1618267036005859329,HeyBudie,"Sudah tau nyesek, tapi masih dicari tau.",1790,7004,2023-01-25 15:18:21+00:00
32,1618244819595456513,HeyBudie,"Balasnya lama, jawabnya begitu saja.",1195,4732,2023-01-25 13:50:05+00:00
