,id,username,text,retweet_count,like_count,created_at
0,1619621638353600512,iqbaale,Pasar Kodim PKU⭐⭐⭐⭐,244,2907,2023-01-29 09:01:04+00:00
1,1617741867587883008,iqbaale,@Timobros Mau 1 mase,5,433,2023-01-24 04:31:32+00:00
2,1615555029179715585,iqbaale,I Q B A A L,1338,19970,2023-01-18 03:41:49+00:00
3,1614661352664215553,iqbaale,@intobradshcal Gatau. Lagi asik tiba-tiba disuruh udahan🤷🤧,24,340,2023-01-15 16:30:40+00:00
4,1614660723707371521,iqbaale,Tadi karaokean di Sukabumi cepet bgt cuma setengah jam :(,182,4322,2023-01-15 16:28:10+00:00
5,1614139306716823553,iqbaale,"Untuk fansnya @Angga_Yunandaaa di Lombok silahkan merapat ke Transmart Mataram malam ini. Angganya gak ada, adanya… https://t.co/OSzdPLl0vt",2387,43110,2023-01-14 05:56:14+00:00
6,1613784541839372289,iqbaale,@cowboyinwoods13 @wordfangs Cri,36,791,2023-01-13 06:26:32+00:00
7,1613402240664080385,iqbaale,@ariirham2 Semangat lur berkabar kalo udh balik kita main,29,627,2023-01-12 05:07:24+00:00
8,1613402134258806785,iqbaale,@ariirham2 Eta nu dicari,21,722,2023-01-12 05:06:59+00:00
9,1613401671459311616,iqbaale,@ariirham2 Shooting geus kelar lur?,21,504,2023-01-12 05:05:08+00:00
10,1613401401501315073,iqbaale,@ariirham2 Ngopi lur,31,920,2023-01-12 05:04:04+00:00
11,1613401324573585411,iqbaale,Geter bro minum kopi 2 gelas tapi enak mau lagi yum,853,9528,2023-01-12 05:03:45+00:00
12,1612708043636232192,iqbaale,UDAH MULAI! realme 10 Pro Series launch event. Bakal ada gue presentasi disini let's go nonton!… https://t.co/ki2YGk0PDD,51,893,2023-01-10 07:08:54+00:00
13,1611337332086673408,iqbaale,Udah nonton Mencuri Raden Saleh di Netflix?,225,4721,2023-01-06 12:22:11+00:00
14,1610828791441653760,iqbaale,"RT @NetflixID: 📢📢 Aksi @iqbaale @aghninyhaque Angga Yunanda, dkk mencuri lukisan Raden Saleh udah bisa kamu tonton. Mencuri Raden Saleh uda…",563,0,2023-01-05 02:41:26+00:00
15,1610202333736243200,iqbaale,@pikoftw Bagusan yg putih kalo udh dipake imo tapi yg item emg kyk in your face gitu,6,510,2023-01-03 09:12:07+00:00
16,1610200987666624513,iqbaale,@pikoftw Hot! 🥵,26,684,2023-01-03 09:06:46+00:00
17,1610200840450764801,iqbaale,@pcintatulus Kerennn✌️,2,63,2023-01-03 09:06:11+00:00
18,1610198019152175107,iqbaale,Btw ini batch terakhir yaa. kesempatan terakhir buat koleksi t shirt Official MRS seri yang ini :) https://t.co/7zZXbAJ9Mf,56,1014,2023-01-03 08:54:58+00:00
19,1610195615660769281,iqbaale,@Kirana_rh @FidelPagaralam Enjoy!,1,52,2023-01-03 08:45:25+00:00
20,1610195469879365633,iqbaale,@_nursyara Yes,3,45,2023-01-03 08:44:50+00:00
21,1610195148520194049,iqbaale,"Now Ready Stock. Buat yang kemarin kehabisan atau gak mau Pre Order, monggo~ 

#MencuriRadenSaleh https://t.co/kisnF8zpaJ",85,1209,2023-01-03 08:43:34+00:00
22,1607030584953671681,iqbaale,@ernestprakasa Asli koh dari awal film udh laperrrrr gila lu ah bagus bener filmnyaaa🫶,43,1162,2022-12-25 15:08:43+00:00
23,1607030359992193025,iqbaale,RT @ernestprakasa: Ternyata @iqbaale juga seperti masyarakat pada umumnya. Beres nonton CTS2 auto ngidam mi instan. 😂😂😂😂😂😂 https://t.co/rCn…,282,0,2022-12-25 15:07:49+00:00
24,1605551532551811072,iqbaale,Btw CC menyusul yah. Harus pelan2 biar akurat👍,29,921,2022-12-21 13:11:29+00:00
25,1605551418051420165,iqbaale,"https://t.co/SxZ1dXcIJv

Seru juga bikin video panjang gini heu heu. Enjoy!!✌️",232,1815,2022-12-21 13:11:02+00:00
26,1603327685718986754,iqbaale,Twitter saw it first https://t.co/CWzlv3VuHs,4787,84535,2022-12-15 09:54:43+00:00
27,1602855714082332674,iqbaale,If you are so kind to your friends then why are you being so harsh on yourself?,26581,82248,2022-12-14 02:39:16+00:00
28,1601436336527114246,iqbaale,Keen to watch Bones and All. Masuk Indonesia gak ya??,88,2040,2022-12-10 04:39:10+00:00
29,1600822951049207808,iqbaale,Swarnaland Padang malem ini harus nyanyi semuanya ya. Kalo gak @oomleo ngambek,80,1880,2022-12-08 12:01:48+00:00
30,1600440655326883840,iqbaale,@umayshhhhb L for Libido orang diatur2 negara brok hello????,77,1034,2022-12-07 10:42:41+00:00
31,1600431836152201216,iqbaale,Common Indonesia L,212,5409,2022-12-07 10:07:38+00:00
32,1600431587245817856,iqbaale,RT @nytimes: Breaking News: Indonesia has outlawed sex outside of marriage in a sweeping overhaul of its criminal code that also sharply ex…,1588,0,2022-12-07 10:06:39+00:00
