,id,username,text,retweet_count,like_count,created_at
0,1624593346672066561,pantungalimar,@Lord0yen kenapa????,0,4,2023-02-12 02:16:51+00:00
1,1624593138529755136,pantungalimar,@xxnttxxx permintaan sulit semoga harimu senin terus,1,173,2023-02-12 02:16:02+00:00
2,1624591740446609409,pantungalimar,gini kak? https://t.co/e4GbMbFj9N,48,1327,2023-02-12 02:10:29+00:00
3,1624498479593832450,pantungalimar,@shitlicious nanti ada suara ceplak ceplak ngga?,0,7,2023-02-11 19:59:53+00:00
4,1624449882332471298,pantungalimar,"@putpuwi haha btul, dia sedang menyerupai kasur kak put",0,0,2023-02-11 16:46:47+00:00
5,1624449281024458754,pantungalimar,lagi manja bangettt https://t.co/rxBFXtj82w,0,103,2023-02-11 16:44:24+00:00
6,1624417261414137856,pantungalimar,@diah_ks anehnya difoto yang kiri,1,71,2023-02-11 14:37:09+00:00
7,1624401472908832772,pantungalimar,sama komuk deng,1,10,2023-02-11 13:34:25+00:00
8,1624401382227968001,pantungalimar,"cuanki dan basa basi doang yang gue tau, yang lainnya baru tau https://t.co/AYiwcnl2Pg",337,1870,2023-02-11 13:34:04+00:00
9,1624386936914972675,pantungalimar,@nplhzzh https://t.co/C2COFHMsle,0,0,2023-02-11 12:36:40+00:00
10,1624362981093183488,pantungalimar,"@otongkoil Nike ardila, satu lagi ngga tau sp",0,18,2023-02-11 11:01:28+00:00
11,1624355078793728000,pantungalimar,"“hi, kamu apa kabar?” pengen chat begitu tapi chat kemarin-kemarin aja belum kamu tanggepin.",56,282,2023-02-11 10:30:04+00:00
12,1624346481087102976,pantungalimar,done bang https://t.co/ToUQVb4yuG,23,366,2023-02-11 09:55:54+00:00
13,1624284608337698816,pantungalimar,berani-beraninya lawan ucing oyen https://t.co/h7etJV725t,80,586,2023-02-11 05:50:03+00:00
14,1624275631512121344,pantungalimar,@alovelyzzz buat wallpaper desktop,0,26,2023-02-11 05:14:22+00:00
15,1624122461863436289,pantungalimar,@cursedkidd klo abis beli lagi,0,7,2023-02-10 19:05:44+00:00
16,1624122236499263488,pantungalimar,boleeeeh https://t.co/migKhWS5zx,13,241,2023-02-10 19:04:50+00:00
17,1624119633421959168,pantungalimar,@luc_heartf aku msih 19 tahun,0,0,2023-02-10 18:54:29+00:00
18,1624119505407578113,pantungalimar,@Msyamsss jaga mulutmu,0,0,2023-02-10 18:53:59+00:00
19,1624119437380190209,pantungalimar,@redblackroses0 mau numpang tidur yaaa!?,0,0,2023-02-10 18:53:43+00:00
20,1624119334833618944,pantungalimar,"@natasyanath_ btul aku duit, dhio dorant",0,0,2023-02-10 18:53:18+00:00
21,1624118684360003584,pantungalimar,wallpaper bwat kmu https://t.co/w0vZSOc5A0,1,199,2023-02-10 18:50:43+00:00
22,1624104607034245120,pantungalimar,done https://t.co/bwzgQ7zDyn,75,1325,2023-02-10 17:54:47+00:00
23,1624097533420265473,pantungalimar,"aku, gue. gimana dah -_-",34,2289,2023-02-10 17:26:40+00:00
24,1624097474867757056,pantungalimar,"udah aku benerin ya, ikutan gemes juga gue liatnya😭👍🏼 https://t.co/JIGotYN8v4",5146,46638,2023-02-10 17:26:26+00:00
25,1624047450141908998,pantungalimar,@kebeleteeq kok pesbuk :(,0,1,2023-02-10 14:07:40+00:00
26,1624046986855956488,pantungalimar,ada yang tau aplikasi edit foto di HP yang ada fitur puppet wrap kaya di photosop apa yah???,3,69,2023-02-10 14:05:49+00:00
27,1623945057769504769,pantungalimar,"tolol banget anjir, gue kan pake masker terus main hp nah di layar hp gue ada rambut gue tiup dong 😭😭",1,123,2023-02-10 07:20:47+00:00
28,1623940702894960641,pantungalimar,@yusuftau___ salah dong bgst 😭😭,1,17,2023-02-10 07:03:29+00:00
29,1623758811965300736,pantungalimar,@convomfs misteribox tuh ini kaka risnaaaa https://t.co/oDVyblx4NX,2,131,2023-02-09 19:00:43+00:00
30,1623697250634584065,pantungalimar,https://t.co/Wrqh29bfHR,0,5,2023-02-09 14:56:06+00:00
31,1623690093679763456,pantungalimar,@ferrysrynt gbleh kasar,0,0,2023-02-09 14:27:39+00:00
