,id,username,text,retweet_count,like_count,created_at
0,1624433658584272896,zivamagnolyeah,@0215jaeyun HAH KOK BS,67,533,2023-02-11 15:42:19+00:00
1,1623874594083065863,zivamagnolyeah,@grndpldv 💁🏻‍♀️💁🏻‍♀️💁🏻‍♀️,0,12,2023-02-10 02:40:48+00:00
2,1623869430391504896,zivamagnolyeah,gampang bgt liat redflag orang lain padahal redflag diri sendiri juga tak kalah banyak 💅🏻,3441,14484,2023-02-10 02:20:16+00:00
3,1623587980819726336,zivamagnolyeah,RT @1011mgtradio: Ini dia listeners cuplikan keseruan Bazar Cerita Cinta di Cihampelas Walk bareng @zivamagnolyeah kemarin ✨✨ #MGTRADIO #va…,10,0,2023-02-09 07:41:54+00:00
4,1623507447758602240,zivamagnolyeah,"RT @ciloqciliq: Ga bangun bangun soalnya ketindihan, ketindihan rasa malas",240,0,2023-02-09 02:21:53+00:00
5,1621767033850580992,zivamagnolyeah,+ manis di pertengahan juga oke,76,1349,2023-02-04 07:06:06+00:00
6,1621766852866355201,zivamagnolyeah,info menemukan doi yang manis di awal dan manis di akhir,5702,24443,2023-02-04 07:05:23+00:00
7,1621336943815712768,zivamagnolyeah,🙂 https://t.co/DS9djBD0LN,99,2403,2023-02-03 02:37:05+00:00
8,1620796977666736128,zivamagnolyeah,sampe depan bgt dijagainnya:’)) makasiii yaaaaaaw!!! https://t.co/anPxMDxkju,14,795,2023-02-01 14:51:27+00:00
9,1620796380322349056,zivamagnolyeah,"td sblm ke pantai, aku live di twt minta buat temenin pas balik k kamar hotel krn jalanan dr pantai ke kamar tu jau… https://t.co/QKisj6dJ4b",54,1823,2023-02-01 14:49:04+00:00
10,1620760460567134209,zivamagnolyeah,@tanyakanrl soji,0,224,2023-02-01 12:26:20+00:00
11,1620745348145893376,zivamagnolyeah,@jxxzvvv gpp ak rela kulitnya gelap asal ak hepi,1,89,2023-02-01 11:26:17+00:00
12,1620745278184890375,zivamagnolyeah,@Abl70060409 gpp mang np si,0,59,2023-02-01 11:26:00+00:00
13,1620744545536479234,zivamagnolyeah,Tuhan aku mau punya rumah deket pantai,2012,10097,2023-02-01 11:23:06+00:00
14,1619040329398898692,zivamagnolyeah,"tujuan mengenyam pendidikan tinggi tuh bukan sekedar buat pinter-pinteran akademis aja. tp paling tidak, kita juga… https://t.co/MHFLBTYie0",13106,29227,2023-01-27 18:31:09+00:00
15,1618999528107180032,zivamagnolyeah,kenapa rasa pengen ngeluh selalu ada walau tak ada masalah,4211,13482,2023-01-27 15:49:01+00:00
