,id,username,text,retweet_count,like_count,created_at
0,1622798759498510336,infoyounic,"Power socket dengan lubang USB

📎: https://t.co/QL9LxzHn6n https://t.co/n5zrHo6f51",1,6,2023-02-07 03:25:49+00:00
1,1622796998322851840,infoyounic,"Storage box

📎: https://t.co/P8Qc3SYbEM https://t.co/XPsrEH9D7u… https://t.co/XPsrEH9D7u",1,4,2023-02-07 03:18:49+00:00
2,1622794359249973248,infoyounic,"Panci listrik low watt multifungis
Rebus,goreng,kukus dalam 1 panci

📎: https://t.co/S3tk8DJZAr… https://t.co/SZ3WyWueA2",1,3,2023-02-07 03:08:19+00:00
3,1622770352899379201,infoyounic,@hwoocyaaa Wkwk🙏🏼,0,0,2023-02-07 01:32:56+00:00
4,1622770322750734336,infoyounic,@user1403png kaget bgt,0,0,2023-02-07 01:32:49+00:00
5,1622770257843871744,infoyounic,@pratiwaw Otw coba,0,0,2023-02-07 01:32:33+00:00
6,1622769131740356608,infoyounic,"RT @izasaiman: Rekomendasi kemeja oversize mengkeren pasti estetiiiiikk

-A Thread-- https://t.co/IdICq1ds3j",35,0,2023-02-07 01:28:05+00:00
7,1622768953197236224,infoyounic,RT @RuangSenja_id: https://t.co/2pkeo0qBNe,54,0,2023-02-07 01:27:22+00:00
8,1622768932930338816,infoyounic,RT @MemeSejutaUmat: https://t.co/vdvZNo2kHa,27,0,2023-02-07 01:27:17+00:00
9,1622768855759339521,infoyounic,@lambejowo_ Iyoo,0,0,2023-02-07 01:26:59+00:00
10,1622768733046575105,infoyounic,@shflywz same,0,0,2023-02-07 01:26:30+00:00
11,1622768678625484800,infoyounic,@kudila_ Ayngg aku miss u hha,0,0,2023-02-07 01:26:17+00:00
12,1622768554910314496,infoyounic,RT @sad_ihh: https://t.co/FzQ1fyEEZw,52,0,2023-02-07 01:25:47+00:00
13,1622768443648016384,infoyounic,@gadisssmelayu Pixy ini favoo bgt,0,0,2023-02-07 01:25:21+00:00
14,1622768375368929280,infoyounic,@dr_zakirhrzntal bner,0,1,2023-02-07 01:25:04+00:00
15,1622768180325416965,infoyounic,@oneofrep Yesss❤️,0,0,2023-02-07 01:24:18+00:00
