,id,username,text,retweet_count,like_count,created_at
0,1622779747951607808,txtdrberseragam,https://t.co/yytGGEffRx… https://t.co/yytGGEffRx,1339,3908,2023-02-07 02:10:16+00:00
1,1622761765552672771,txtdrberseragam,https://t.co/wkMCfnvudx,8,37,2023-02-07 00:58:49+00:00
2,1622761761442271232,txtdrberseragam,https://t.co/ifVGJTcpWf,103,742,2023-02-07 00:58:48+00:00
3,1622716816715042816,txtdrberseragam,"RT @LocalRacun: Kumpulan laptop dan tab spek gahar harga merakyat!

Save aja dulu

- A Thread - https://t.co/iLKa6Tlbh4",32,0,2023-02-06 22:00:12+00:00
4,1622566195890388995,txtdrberseragam,"RT @masmasjawabgt: Malam ini saya buka sesi baca telapak tangan buat 15 slot, biaya? Tetep seikhlasnyaa saja. Yang dibaca adalah karakteris…",3,0,2023-02-06 12:01:41+00:00
5,1622514820569505792,txtdrberseragam,https://t.co/NThNl6TIXg,20,78,2023-02-06 08:37:32+00:00
6,1622514816815628289,txtdrberseragam,https://t.co/zMA2FSOTbw,948,5185,2023-02-06 08:37:31+00:00
7,1622461627219206145,txtdrberseragam,"RT @masmasjawabgt: Siang ini saya buka sesi baca telapak tangan buat 20 slot, biaya? Tetep seikhlasnyaa saja. Yang dibaca adalah karakteris…",2,0,2023-02-06 05:06:10+00:00
8,1622387635359731713,txtdrberseragam,https://t.co/NLoq9qqZna,11,47,2023-02-06 00:12:09+00:00
9,1622387630330753024,txtdrberseragam,https://t.co/ubLlwJRYO1,344,2169,2023-02-06 00:12:08+00:00
10,1622354518582370304,txtdrberseragam,"RT @shopcircles: Rekomendasi Smartwatch Tercanggih dan Terbaik 2023 Harga Merakyat!

- A Thread - https://t.co/KBf4ktI6Rz",159,0,2023-02-05 22:00:33+00:00
11,1622204331687841792,txtdrberseragam,"RT @masmasjawabgt: Malam ini saya buka sesi baca telapak tangan buat 15 slot, biaya? Tetep seikhlasnyaa saja. Yang dibaca adalah karakteris…",5,0,2023-02-05 12:03:46+00:00
12,1622187684436541441,txtdrberseragam,https://t.co/nzrqlKbClo,6,54,2023-02-05 10:57:37+00:00
13,1622187679814414339,txtdrberseragam,https://t.co/H0oXUrP8Kh,484,3405,2023-02-05 10:57:36+00:00
14,1622166042717065217,txtdrberseragam,"RT @ShopeeCuties: Gift Parfume Buat Cowomu / Mas Crush Bikin Candu

- a thread - https://t.co/u2CrHXKI1J",65,0,2023-02-05 09:31:37+00:00
15,1622067543572729856,txtdrberseragam,https://t.co/elw2e08I3P,839,4173,2023-02-05 03:00:13+00:00
16,1621992186593296385,txtdrberseragam,"RT @LocalRacun: Rekomendasi Smart Android TV!

Harga Under 2 juta! 

- A Thread - https://t.co/YlxmGvTX8e",279,0,2023-02-04 22:00:47+00:00
17,1621992115080421377,txtdrberseragam,"RT @BestRacun: Rekomendasi Barang Apple / iPhone Harganya Turun Drastis!!

iPhone 11 Cuma 5 Juta Ajaa!

- A Thread - https://t.co/2RHkw6pYRX",51,0,2023-02-04 22:00:30+00:00
18,1621855618809344001,txtdrberseragam,https://t.co/rx7zqWVI7d,3,25,2023-02-04 12:58:06+00:00
19,1621855612949901312,txtdrberseragam,https://t.co/VodAgye0rt,153,1310,2023-02-04 12:58:05+00:00
20,1621843342693900289,txtdrberseragam,"RT @masmasjawabgt: Malam ini saya buka sesi baca telapak tangan buat 10 slot, biaya? Tetep seikhlasnyaa saja. Yang dibaca adalah karakteris…",2,0,2023-02-04 12:09:19+00:00
21,1621712756914425857,txtdrberseragam,https://t.co/Ar46Q7qdm1,16,106,2023-02-04 03:30:25+00:00
22,1621712753147936769,txtdrberseragam,https://t.co/efPso3prNE,1299,8636,2023-02-04 03:30:24+00:00
23,1621465506309091329,txtdrberseragam,https://t.co/gqGTPiCxzc,49,214,2023-02-03 11:07:56+00:00
24,1621465500760047616,txtdrberseragam,https://t.co/uwJv9JhC7h,2318,13215,2023-02-03 11:07:55+00:00
25,1621433775870844928,txtdrberseragam,"Motor siape tu pak🤦🏻‍♂️
 https://t.co/37jkmZ9BkA",155,1108,2023-02-03 09:01:51+00:00
26,1621397864609116162,txtdrberseragam,https://t.co/Rhm12jRhvb,8,92,2023-02-03 06:39:09+00:00
27,1621397859332661248,txtdrberseragam,https://t.co/8uo50jmA3v,510,4607,2023-02-03 06:39:08+00:00
28,1621385816265359361,txtdrberseragam,"RT @masmasjawabgt: Siang ini saya buka sesi baca telapak tangan buat 20 slot, biaya? Tetep seikhlasnyaa saja. Yang dibaca adalah karakteris…",2,0,2023-02-03 05:51:17+00:00
29,1621137671216328705,txtdrberseragam,https://t.co/7W0EwE5fSx,21,115,2023-02-02 13:25:14+00:00
30,1621137666980085760,txtdrberseragam,https://t.co/tzypotr1jO,554,5547,2023-02-02 13:25:13+00:00
31,1621117979479146498,txtdrberseragam,"RT @masmasjawabgt: Malam ini saya buka sesi baca telapak tangan buat 10 slot, biaya? Tetep seikhlasnyaa saja. Yang dibaca adalah karakteris…",3,0,2023-02-02 12:06:59+00:00
32,1621116705585115136,txtdrberseragam,https://t.co/1uLh8vcAxB,50,220,2023-02-02 12:01:56+00:00
33,1621116701944475653,txtdrberseragam,https://t.co/nQC5dsPqUS,1979,12265,2023-02-02 12:01:55+00:00
34,1621115331937992707,txtdrberseragam,RT @Lalalunanfi: Ampuh sih ini. Update setelah 2 bulan belang kaki ikutan ilang juga 😭 https://t.co/aPFgPGBa4d,782,0,2023-02-02 11:56:28+00:00
35,1621105031671054336,txtdrberseragam,"RT @Lveidea: Valentine gift idea ❤️‍🔥

athread— https://t.co/QNGxc0X03A",7,0,2023-02-02 11:15:32+00:00
36,1621024730085228544,txtdrberseragam,https://t.co/CyQem9lZhb,7,75,2023-02-02 05:56:27+00:00
37,1621024726138388480,txtdrberseragam,https://t.co/fSoo664EhB,614,4192,2023-02-02 05:56:26+00:00
38,1621012707418996736,txtdrberseragam,https://t.co/rjpec0jHx0,28,185,2023-02-02 05:08:41+00:00
39,1621012703417630720,txtdrberseragam,https://t.co/nDVyI6uAoh,1118,9173,2023-02-02 05:08:40+00:00
40,1621012382574338048,txtdrberseragam,"RT @masmasjawabgt: Siang ini saya buka sesi baca telapak tangan buat 20 slot, biaya? Tetep seikhlasnyaa saja. Yang dibaca adalah karakteris…",5,0,2023-02-02 05:07:23+00:00
41,1620935384682336256,txtdrberseragam,"RT @shopcircles: Rekomendasi Sepatu New Balance!

Harga Turun Spesial 2 Februari!

- A Thread - https://t.co/GdbvOLew56",46,0,2023-02-02 00:01:25+00:00
42,1620781677227433986,txtdrberseragam,Serba-serbi editor handal (Part 5) https://t.co/wrTojxUkU8,132,970,2023-02-01 13:50:39+00:00
43,1620755973139988480,txtdrberseragam,"RT @masmasjawabgt: Malam ini saya buka sesi baca telapak tangan buat 15 slot, biaya? Tetep seikhlasnyaa saja. Yang dibaca adalah karakteris…",4,0,2023-02-01 12:08:30+00:00
44,1620754123162521600,txtdrberseragam,"Lagi pengen banget ngemil, nyari basreng dan cek review orang2 pd bilang enak. Ga pake mikir langsung beli sekilo d… https://t.co/zOXkJ0yWmH",4,71,2023-02-01 12:01:09+00:00
45,1620748831100137472,txtdrberseragam,"RT @ngxshopee: parfum cowo pelukable bikin kecanduan

a thread. https://t.co/0vQqqmWLfI",127,0,2023-02-01 11:40:08+00:00
46,1620733436536434688,txtdrberseragam,@txtdaribogor 🥰🥰,0,8,2023-02-01 10:38:57+00:00
47,1620732704194174977,txtdrberseragam,"Bang udah bang
 https://t.co/A4oritYQJv",1440,8900,2023-02-01 10:36:03+00:00
48,1620654929139335169,txtdrberseragam,https://t.co/AgxFdZzJfO,4,32,2023-02-01 05:27:00+00:00
49,1620654925058572290,txtdrberseragam,https://t.co/BYKOKOYoOr,105,898,2023-02-01 05:26:59+00:00
50,1620583746658529281,txtdrberseragam,https://t.co/65USq2dZuY,17,106,2023-02-01 00:44:08+00:00
51,1620583743072403457,txtdrberseragam,☺️ https://t.co/hCTapSobvT,813,7795,2023-02-01 00:44:07+00:00
52,1620416836130181120,txtdrberseragam,"RT @deleteacc_ann: Punya akun jaman dulu yg isinya postingan alay/aib? Mau hapus akunnya tp lupa email dan pass? Atau akun kamu di hack?

Y…",14,0,2023-01-31 13:40:54+00:00
53,1620393579045883905,txtdrberseragam,"RT @masmasjawabgt: Malam ini saya buka sesi baca telapak tangan buat 15 slot, biaya? Tetep seikhlasnyaa saja. Yang dibaca adalah karakteris…",6,0,2023-01-31 12:08:29+00:00
54,1620356051144179712,txtdrberseragam,AKUN INI AKAN SAYA SELIDIKI https://t.co/x0k2dTLI3U… https://t.co/x0k2dTLI3U,8544,32846,2023-01-31 09:39:22+00:00
55,1620286701427118081,txtdrberseragam,"RT @masmasjawabgt: Siang ini saya buka sesi baca telapak tangan buat 20 slot, biaya? Tetep seikhlasnyaa saja. Yang dibaca adalah karakteris…",2,0,2023-01-31 05:03:47+00:00
56,1620269017654263810,txtdrberseragam,https://t.co/Z8lmZT4kAj,7,51,2023-01-31 03:53:31+00:00
57,1620269011752857600,txtdrberseragam,https://t.co/g29wqJKNRp,229,1587,2023-01-31 03:53:30+00:00
58,1620184933988974598,txtdrberseragam,"RT @alpha_kicuy: Rekomendasi HP android spek gahar harga merakyat!

-A thread- https://t.co/slQhcj9eP5",78,0,2023-01-30 22:19:24+00:00
59,1620053330637754370,txtdrberseragam,https://t.co/zpTQOfTkND,3,42,2023-01-30 13:36:27+00:00
60,1620053327261335552,txtdrberseragam,🫡 https://t.co/qD9btV4BSy,175,3029,2023-01-30 13:36:27+00:00
61,1620032337290629120,txtdrberseragam,"RT @masmasjawabgt: Malam ini saya buka sesi baca telapak tangan buat 15 slot, biaya? Tetep seikhlasnyaa saja. Yang dibaca adalah karakteris…",3,0,2023-01-30 12:13:02+00:00
62,1620015227806027778,txtdrberseragam,https://t.co/U9F7EhC3d3,7,77,2023-01-30 11:05:03+00:00
63,1620015223393636352,txtdrberseragam,https://t.co/DSy1ddOEdv,397,4504,2023-01-30 11:05:02+00:00
64,1619952935789813762,txtdrberseragam,😂 https://t.co/aluz9kaYwG,1739,6793,2023-01-30 06:57:31+00:00
65,1619889913780125696,txtdrberseragam,😂🤣 https://t.co/r7CqqMv137,1789,8794,2023-01-30 02:47:06+00:00
66,1619687247674249216,txtdrberseragam,https://t.co/Vu7t0ISnV8,153,707,2023-01-29 13:21:46+00:00
67,1619687241286287362,txtdrberseragam,https://t.co/cLEE0YHXNT,5088,32170,2023-01-29 13:21:45+00:00
