,id,username,text,retweet_count,like_count,created_at
0,1622192684851929090,LunaMaya26,#trowback sunday 💚🤎 @ Josun Palace 조선 팰리스 https://t.co/qyAavsm1ne,0,57,2023-02-05 11:17:29+00:00
1,1621052473946550275,LunaMaya26,Amin hahahha kacauuu https://t.co/MqJTDunipr,5,117,2023-02-02 07:46:42+00:00
2,1621052389171265539,LunaMaya26,Hahah so pasti 😋 https://t.co/KuuFEH8t8X,3,73,2023-02-02 07:46:21+00:00
3,1621052328878174208,LunaMaya26,RT @dinamarisa105: @LunaMaya26 Pasti lebih lucuan ananknya RM &amp; Kak Lun @LunaMaya26  wkwkwk,1,0,2023-02-02 07:46:07+00:00
4,1620744139095564288,LunaMaya26,"Feeling 💛 #february @ Jakarta, Indonesia https://t.co/7obMlqZGZQ",0,27,2023-02-01 11:21:29+00:00
5,1620251898191450112,LunaMaya26,Anak nya #SongJoongKi sama #KatyLouiseSaunders pasti lucuuuuu bgt 😍,9,128,2023-01-31 02:45:30+00:00
6,1617494623420645377,LunaMaya26,"Senin ✅ @ Jakarta, Indonesia https://t.co/8MSqFE4FtP",1,49,2023-01-23 12:09:04+00:00
7,1617021004613619712,LunaMaya26,"Just posted a photo @ Jakarta, Indonesia https://t.co/v290clQElD",2,73,2023-01-22 04:47:04+00:00
8,1616395316265390081,LunaMaya26,"RT @NarasiNewsroom: Keren bangeett juara matematika sejak kecil, bukan kaleng-kaleng nih adeknya 🤩🥳

| Narasi Daily https://t.co/8VjZmJzvxQ",367,0,2023-01-20 11:20:49+00:00
9,1615380359100895232,LunaMaya26,Bisa jadi https://t.co/SQhW919SeR,4,48,2023-01-17 16:07:44+00:00
10,1615380279165865984,LunaMaya26,Gila gossip yaa bisa gitu https://t.co/3yXKNDJ73w,2,29,2023-01-17 16:07:25+00:00
11,1615380167886766084,LunaMaya26,Padahal bagus dong gak ngelakuin itu semua https://t.co/yZCBIBQUj7,3,36,2023-01-17 16:06:58+00:00
12,1615380011921604609,LunaMaya26,Aduh sabar ya https://t.co/uuxhaZiXi3,1,21,2023-01-17 16:06:21+00:00
13,1615379905113620481,LunaMaya26,Yaaa aku pun relate bgt https://t.co/LLV2qieHpH,1,19,2023-01-17 16:05:56+00:00
14,1615379807478636544,LunaMaya26,"Jawab aja, Iyaa Emang 😋 https://t.co/8D9vjggCkC",0,15,2023-01-17 16:05:33+00:00
15,1615379695889158147,LunaMaya26,Ckckck … masih ada ya ? 😞 https://t.co/Kbw1DFMCsk,2,81,2023-01-17 16:05:06+00:00
16,1615379395325333505,LunaMaya26,Ih bodo amat ya 🙃 BTS is the best https://t.co/hlfK2nqmzw,1094,4712,2023-01-17 16:03:54+00:00
17,1615379292841730048,LunaMaya26,Hahaha pintar 😜 https://t.co/nrwfnblxAr,1,90,2023-01-17 16:03:30+00:00
18,1615379235845332993,LunaMaya26,Bersyukur yang penting sehat https://t.co/XsxD5OSL9k,1,18,2023-01-17 16:03:16+00:00
19,1615379147643310080,LunaMaya26,Aucchh… sabar ya https://t.co/bbJBziIdGn,0,36,2023-01-17 16:02:55+00:00
20,1615379074771464193,LunaMaya26,Padahallll ? 🤣 https://t.co/jsQHVzDV09,1,32,2023-01-17 16:02:38+00:00
21,1615379003636068352,LunaMaya26,Emang kenapa ya kalo suka Kpop ? 🧐 https://t.co/6ewmPoJZz9,2,20,2023-01-17 16:02:21+00:00
22,1615378897805389824,LunaMaya26,Ahhh 😅 https://t.co/WQgYSIhWZj,3,49,2023-01-17 16:01:56+00:00
23,1615248936046059526,LunaMaya26,"Kalo sebagai public figure kan sering di omongin,kalo kalian juga suka di omongin org gak sih? Kalo iya hal paling… https://t.co/pVNaR5zzYr",27,417,2023-01-17 07:25:30+00:00
