,id,username,text,retweet_count,like_count,created_at
0,1624280344945119232,umayshhhhb,@shenacinnamon @Cinefoxxid https://t.co/r4kBiQrM9t,7,181,2023-02-11 05:33:06+00:00
1,1624271086115504129,umayshhhhb,"btw dengerin lagu2nya jek enak enak 
https://t.co/g8MVh1wM82",1,57,2023-02-11 04:56:19+00:00
2,1624271075562622976,umayshhhhb,Selamat Menikah jek &amp; disa dari kami yang menjodohkan kalian 🥲😁 https://t.co/ZdR2htLsrw,57,3145,2023-02-11 04:56:16+00:00
3,1623943406996312065,umayshhhhb,@inarahsyarafina lu yang bikin tweet menfess itu ya,0,94,2023-02-10 07:14:14+00:00
4,1623926236241338369,umayshhhhb,@kristoimmanuel diem to,0,528,2023-02-10 06:06:00+00:00
5,1623925854027014145,umayshhhhb,"gw diem aja dibilang mirip gofar lah dibilang mirip lee soo man lah, terus sekarang ade lagiii https://t.co/aszhRdYLew",90,2493,2023-02-10 06:04:29+00:00
6,1623920362282164225,umayshhhhb,@Pakjwoochanlii https://t.co/PVsbi17Zif,37,2267,2023-02-10 05:42:40+00:00
7,1623898962339184640,umayshhhhb,saya ama ini aja dah cukup 🙏🏼 https://t.co/4d5xe7b6gw https://t.co/m9zgs1EOyc,680,19969,2023-02-10 04:17:37+00:00
8,1623725815505780736,umayshhhhb,@Jmachcy kepencet... maap bet :)))),0,205,2023-02-09 16:49:36+00:00
9,1623723428233748481,umayshhhhb,@KuntoAjiW video curt lg nyobain https://t.co/TRehCO1ZxN,1,43,2023-02-09 16:40:07+00:00
10,1623682542418419712,umayshhhhb,bukan gw sat!!!!!!,2073,40037,2023-02-09 13:57:39+00:00
11,1623597677375283202,umayshhhhb,@refalhady ap si lu,4,138,2023-02-09 08:20:25+00:00
12,1623596695316746242,umayshhhhb,RT @findormeme: stop gua bilang stop stop anjing lo gua bilang stop anjeeng stoopp ahhh prilly latuconsina as niskala in kukira kau rumah m…,310,0,2023-02-09 08:16:31+00:00
13,1622882196351778817,umayshhhhb,RT @tvindonesiawkwk: finally 🥲 https://t.co/RrgFrjkeUZ,1108,0,2023-02-07 08:57:21+00:00
14,1622870810519281665,umayshhhhb,"@RachellYahya ""jangan mahal mahal ya cel, nanti masuk BTS kok""",22,1832,2023-02-07 08:12:07+00:00
15,1621790719198498816,umayshhhhb,adek gw nonton pesta rakyat ketemu sama mas ahmad https://t.co/TmNNB2RIoo,6,463,2023-02-04 08:40:13+00:00
16,1621562444413022208,umayshhhhb,@auroramanda95 @eyecoklatkopisu @tix_id emang kalo di belanda jokes apa aja jadi lucu ya am :) #iykyk,3,36,2023-02-03 17:33:08+00:00
17,1621542761769074689,umayshhhhb,"@eyecoklatkopisu lah gmn caranya lu ngikutin gugel, kan lu dah nonton :(",0,8,2023-02-03 16:14:55+00:00
18,1621518680898306051,umayshhhhb,@eyecoklatkopisu @tix_id @auroramanda95 gw kaga main disini 🥲,4,86,2023-02-03 14:39:14+00:00
19,1621456398470217728,umayshhhhb,santai jing https://t.co/4quPqR4zrY,32,528,2023-02-03 10:31:45+00:00
20,1620802942889758723,umayshhhhb,"@needunmatcha i knooo, dan gw super gapapa juga kalo emang banyak yg ngerasa kurang sreg atau kurang cocok kan namanya selera ehee",0,10,2023-02-01 15:15:09+00:00
21,1620747412209041408,umayshhhhb,@rejekikusugih blokkkk,0,0,2023-02-01 11:34:29+00:00
22,1620683809539911680,umayshhhhb,@azizrisqii bwahaha,0,1,2023-02-01 07:21:45+00:00
23,1620677082815807488,umayshhhhb,"Film Kukira Kau Rumah buat gw ga harus sempurna, dan belum tentu harus disempurnain. Biar nanti suatu saat gw punya… https://t.co/Znb3iyjMvX",30,423,2023-02-01 06:55:01+00:00
24,1619668300883189765,umayshhhhb,@ernestprakasa heppi berdeyy banggg,2,72,2023-01-29 12:06:29+00:00
25,1619665314870099968,umayshhhhb,@cursedkidd byk ngemeng,14,693,2023-01-29 11:54:37+00:00
26,1619656271074033664,umayshhhhb,@aimrod setara sama terbaik terbaik,0,85,2023-01-29 11:18:41+00:00
27,1619654764329062400,umayshhhhb,the artist            /        The art https://t.co/oVSfGzSOMh https://t.co/2D8mkNteN8,1444,27903,2023-01-29 11:12:42+00:00
28,1619565810200215552,umayshhhhb,"RT @maribelajarfilm: Mari Ngulas Film - Langkah Renjana 

Setelah liat tweet @cinemuach, terus liat ada keyword ""tulang punggung keluarga"".…",19,0,2023-01-29 05:19:13+00:00
29,1619369960480047104,umayshhhhb,Dari dulu gw muter2in indonesia jadi pembawa acara Galeri Sepakbola Indonesia tahun 2009 sampe sekarang 2023 sepakb… https://t.co/ska4IIok64,3,123,2023-01-28 16:20:59+00:00
30,1619164871836442624,umayshhhhb,@zaynbetterr yuk,0,8,2023-01-28 02:46:02+00:00
31,1619159120430632961,umayshhhhb,11 video klip tapi jarinya 10 apaansi lu may,9,315,2023-01-28 02:23:11+00:00
32,1619159006697902080,umayshhhhb,"umay keefci bakal muter muter kfc bekasi, bakal sign cd cd Kukira Kau Rumah yang sekarang masih dijual di gerai ger… https://t.co/7CqcFVKvYk",85,1180,2023-01-28 02:22:44+00:00
33,1619146053072355329,umayshhhhb,"RT @bakmialice: langkah renjana (2023)

heartwarming family story dealing with financial issues, centralizing on renjana.  siblings relatio…",15,0,2023-01-28 01:31:15+00:00
34,1618993679464792066,umayshhhhb,"RT @cinemuach: Yg anak rantau, punya mimpi, tp harus jadi tulang punggung keluarga juga, this film is for you! Yg bisa aku highlight di fil…",40,0,2023-01-27 15:25:47+00:00
35,1618986293526134790,umayshhhhb,"RT @WatchmenID: Sebuah film pendek tentang Renjana, si sulung yang merantau sekaligus menjadi penopang kehidupan keluarga.

Drama peliknya…",28,0,2023-01-27 14:56:26+00:00
36,1618934279307943937,umayshhhhb,@txtanakbioskop @ashirazamita loppp bgdddd,0,1,2023-01-27 11:29:45+00:00
37,1618934227961270272,umayshhhhb,"RT @txtanakbioskop: Film pendek karya Inarah Syarafina yang dibintangi oleh @umayshhhhb dan @ashirazamita 

Langkah Renjana

Bisa kamu tont…",16,0,2023-01-27 11:29:32+00:00
38,1618933171583844352,umayshhhhb,"RT @Cinefoxxid: Anak pertama ✅
Anak rantau ✅
Tulang punggung keluarga ✅

Apakah kalian relate dengan 3 hal di atas? Kalau iya, berarti kali…",14,0,2023-01-27 11:25:21+00:00
39,1618929866937860099,umayshhhhb,@djaycoholyc @ashirazamita sungkemmm🙏🏼🙏🏼🙏🏼 matur nuwun somatss djayy,0,26,2023-01-27 11:12:13+00:00
40,1618929787288059904,umayshhhhb,"RT @djaycoholyc: Film Pendek karya Inarah Syarafina

Pemainnya @umayshhhhb sama @ashirazamita 

Simpen dulu linknya buat tontonan weekend…",14,0,2023-01-27 11:11:54+00:00
41,1618927951118213120,umayshhhhb,@aariirham2 YAIYA LAH,0,52,2023-01-27 11:04:36+00:00
42,1618926904706478080,umayshhhhb,3 taun setelah foto ini saya sudah naik 10kg 🙏🏼,1,131,2023-01-27 11:00:26+00:00
43,1618926797432963073,umayshhhhb,@NiswahHusniyah belom punya duit jajan 🙂,0,27,2023-01-27 11:00:01+00:00
44,1618925399916027905,umayshhhhb,"udah mau 3 taun foto yg kiri diambil, deketinnya dari gw SMP tp gapernah digubris LOL... sampe akhirnya kerja baren… https://t.co/isZVY9huoH",90,1101,2023-01-27 10:54:28+00:00
45,1618882817542475778,umayshhhhb,@osloibrahim https://t.co/9lvffD9fM4,1,106,2023-01-27 08:05:15+00:00
46,1618649175419142145,umayshhhhb,paling bener sepakbola di indonesia diganti sama kompetisi lato2 sih menurut gw https://t.co/0i2yyYQ6CS,26,160,2023-01-26 16:36:51+00:00
47,1618646425516249089,umayshhhhb,"RT @WatchmenID: Congrats @inarahsyarafina atas film pendeknya! 

Seru banget liat teknologinya Layar Virtual dishowcase di sini! Potensi be…",9,0,2023-01-26 16:25:55+00:00
48,1618588050040426497,umayshhhhb,@WatchmenID *film pendeknya: @inarahsyarafina,0,5,2023-01-26 12:33:57+00:00
49,1618550239836934144,umayshhhhb,WHOOP ✈️✈️✈️ https://t.co/gCt9yR3JOh,36,419,2023-01-26 10:03:43+00:00
50,1618211238865174528,umayshhhhb,@osloibrahim pakabar slo https://t.co/jZ8tlvmmGF,0,33,2023-01-25 11:36:38+00:00
51,1618209837976014852,umayshhhhb,"RT @idextratime: Emosinya terasa sangat mewakili

https://t.co/rKGa5UYqJW",1438,0,2023-01-25 11:31:04+00:00
52,1618183023907995648,umayshhhhb,balik ke indo disambutnya ama lato-lato satttttt,19,775,2023-01-25 09:44:31+00:00
53,1617832467720966145,umayshhhhb,@Aleleleeyaa yak...,2,50,2023-01-24 10:31:32+00:00
54,1617816603785310209,umayshhhhb,@appreciatde @sinemakupicts @vidio https://t.co/oDrYQah6d6,2,10,2023-01-24 09:28:30+00:00
55,1617816303649325063,umayshhhhb,@hiraethgold @gofarnyebat @sinemakupicts @vidio singkatan dari romantic comedy bgst,12,41,2023-01-24 09:27:19+00:00
56,1617815046557696001,umayshhhhb,@umayibaay @gofarnyebat @sinemakupicts @vidio hobi bikin orang istiqoroh,1,10,2023-01-24 09:22:19+00:00
57,1617814707695652866,umayshhhhb,@gofarnyebat @sinemakupicts @vidio romcomgst,4,30,2023-01-24 09:20:58+00:00
58,1617812252010352641,umayshhhhb,"@umayibaay @sinemakupicts @vidio berkaryanya pas muda, leha lehanya pas tua 😉",4,16,2023-01-24 09:11:13+00:00
59,1617811931490062339,umayshhhhb,"Onto the next one

@sinemakupicts X @vidio https://t.co/KUJUJo53Bl",70,647,2023-01-24 09:09:56+00:00
60,1617134255032922114,umayshhhhb,"ditanyain ama orang singapore ""kenapa ke sini pas sincia, kan disini toko pada tutup"".

ya mana gw tau gw kan arab :(",198,3501,2023-01-22 12:17:05+00:00
61,1616402768767352832,umayshhhhb,bahaya menganggur https://t.co/u34cSVhnqL,25,221,2023-01-20 11:50:26+00:00
62,1616389332247678979,umayshhhhb,artinya ap bg messi,8,271,2023-01-20 10:57:02+00:00
63,1616385483961139200,umayshhhhb,jago ni joji https://t.co/j1LbTJx5qI,6,376,2023-01-20 10:41:45+00:00
