,id,username,text,retweet_count,like_count,created_at
0,1622509979126345730,dsuperboy,"Dulu tinggal di desa, orang tua bikin rumah di tengah sawah malah — di satu bagian yang dikeringkan. Mereka bertani… https://t.co/WnIbrb0uwb",9,382,2023-02-06 08:18:18+00:00
1,1622464844325879808,dsuperboy,Kerja keras buat beli waras.,1478,3865,2023-02-06 05:18:57+00:00
2,1622162343907192832,dsuperboy,@Yan_Djainady 🙏🏻,0,0,2023-02-05 09:16:55+00:00
3,1622110760989241345,dsuperboy,Awal tahun menandatangani 2 kontrak kerjasama dengan penerbit Sigikata. Tahun ini kami berencana menerbitkan 2 judu… https://t.co/e2sgCuspTJ,4,296,2023-02-05 05:51:57+00:00
4,1622107143704018944,dsuperboy,@elisanina19 🙏🏻,0,47,2023-02-05 05:37:35+00:00
5,1621964620436234240,dsuperboy,https://t.co/OmZHGIzraH,77,853,2023-02-04 20:11:14+00:00
6,1621907929120251905,dsuperboy,"Aku tidak kalah, aku hanya sedang mengambil jeda. Membiarkan udara berembus di sekitarku. Mengumpulkan energi dan m… https://t.co/RDfF8EWd5s",1404,4567,2023-02-04 16:25:58+00:00
7,1621797349487181825,dsuperboy,Alasan lain ke Bukittinggi. https://t.co/kDizjaqyTJ,50,1136,2023-02-04 09:06:34+00:00
8,1621733298610511872,dsuperboy,Satu dari banyak alasan ke Bukittinggi. https://t.co/Fz6q1sMU1p,42,894,2023-02-04 04:52:03+00:00
9,1621728912056389632,dsuperboy,@otongkoil Yang penting nggak pakai dukun :(,8,261,2023-02-04 04:34:37+00:00
10,1621465703940489217,dsuperboy,https://t.co/P44JXzDlnr,1222,5904,2023-02-03 11:08:43+00:00
11,1621226481056894976,dsuperboy,"Masih sayang, cuma udah nggak berharap buat bersama lagi.",2394,8519,2023-02-02 19:18:08+00:00
12,1621213497425285120,dsuperboy,Emang beneran kalau kaki kita sering kesemutan itu gara-gara nggak sengaja pernah memakan semut?,62,975,2023-02-02 18:26:33+00:00
13,1621191882591330304,dsuperboy,Apa efek memakan semut?,72,1732,2023-02-02 17:00:39+00:00
14,1621139419939102720,dsuperboy,"Nanti jika aku tidak kembali, sungguh aku pernah bersungguh-sungguh di sana. Sungguh aku pernah setotal itu memberi… https://t.co/N3d75SnzQ2",2063,5385,2023-02-02 13:32:11+00:00
15,1620881026775142400,dsuperboy,Tetaplah hidup meski sepanjang tahun kau harus begadang.,896,4550,2023-02-01 20:25:25+00:00
