,id,username,text,retweet_count,like_count,created_at
0,1624411897163583488,andihiyat,"*Feeling ngga enak*

Tau-tau ""LAH BENERAN KEJADIAN""",1833,6215,2023-02-11 14:15:51+00:00
1,1624377061841436672,andihiyat,Ternyata yang paling aku butuhkan pas udah dewasa itu bukan pacar tapi uang yang banyak,1517,5152,2023-02-11 11:57:25+00:00
2,1624372999804821504,andihiyat,"Life goals

Bisa beli apa yang dulu ngga bisa dibeli",738,2525,2023-02-11 11:41:17+00:00
3,1624063849258422272,andihiyat,@wihboo Nga,0,0,2023-02-10 15:12:49+00:00
4,1624062329024561154,andihiyat,Kadang-kadang pengen maki-maki diri sendiri kalo lagi goblok,2764,7892,2023-02-10 15:06:47+00:00
5,1624021949830803456,andihiyat,"""Ngerasa ngga pantes buat siapa-siapa"" is another level of insecure",4342,14153,2023-02-10 12:26:20+00:00
6,1623690560644210688,andihiyat,Mood gampang banget berantakan kek akhlak,2761,8434,2023-02-09 14:29:31+00:00
7,1623687388219465729,andihiyat,"RT @joindong_: JOINDONG 3RD ANNIVERSARY PARTY

PAJAMAS KARAOKE PARTY
Wake Up &amp; Grow Up

Leads by:
Nadhifa Salsabila @nadsalsabila 
Andihiya…",10,0,2023-02-09 14:16:54+00:00
8,1623518631924756480,andihiyat,Adulting itu meskipun ngeluh tapi tetep aja dikerjain,764,2197,2023-02-09 03:06:20+00:00
9,1623352478912905216,andihiyat,"Ekspektasi: Sat set sat set kelar

Realita: Ngerjain baru 1 jam, istirahatnya 1 hari",535,2257,2023-02-08 16:06:06+00:00
10,1623322799992623105,andihiyat,Hal-hal yang ngga boleh ditanyain sama orang yang baru kenal,323,4921,2023-02-08 14:08:10+00:00
11,1623317095151796225,andihiyat,@freakihooman @BioskoponlineID 🤗🤗,0,0,2023-02-08 13:45:29+00:00
12,1623316938226290689,andihiyat,@ngewintrs @BioskoponlineID Sepertinya iya,0,0,2023-02-08 13:44:52+00:00
13,1623294124031086594,andihiyat,"Kok ada orang mau HTSan? Berharap yang ngga pasti, ngga mau berharap tapi terlalu ngena di hati

Yang pasti gua nun… https://t.co/cKtAjh3Otp",15,148,2023-02-08 12:14:13+00:00
14,1623008152374611968,andihiyat,"Happiness in public, sadness in private",4492,12973,2023-02-07 17:17:52+00:00
15,1622963003070226433,andihiyat,@adhiefahmi Ngomongin diri sendiri,1,69,2023-02-07 14:18:27+00:00
16,1622957884488454144,andihiyat,"Sadar ngga lu kalo ternyata duit abis mulu itu bukan karna boros, tapi karna punya duitnya aja yang kurang banyak",1068,4305,2023-02-07 13:58:07+00:00
17,1622636877919711232,andihiyat,"Senangnya dalam hati, kalau berdigit dua",593,2179,2023-02-06 16:42:33+00:00
18,1622636394471657475,andihiyat,"Lelah, letih, miss u",1725,5192,2023-02-06 16:40:38+00:00
19,1622622400855810049,andihiyat,"Di luar keliatan tangguh, padahal aslinya rapuh.",1072,3495,2023-02-06 15:45:01+00:00
20,1622603799792877568,andihiyat,"""Perasaan duit lu abis mulu dah, buat apaan aja sih?""

Ya gua mah ngga kayak elu cuma ngidupin diri sendiri, lah gua",507,2028,2023-02-06 14:31:07+00:00
21,1622223464282361857,andihiyat,Umur segini emang udah ngga punya banyak energi lagi buat berinteraksi sama banyak orang,6119,13357,2023-02-05 13:19:47+00:00
22,1621821066820866049,andihiyat,"Pernah ngga lu saking marahnya sama orang sampe ngga bisa marah-marah, cuma bisa diem, kecewa dan dalem hati bilang ""cukup tau aja""",6843,19712,2023-02-04 10:40:48+00:00
23,1621790880075227136,andihiyat,Terima kasih sudah berjuang sampe tipes,866,4024,2023-02-04 08:40:51+00:00
24,1621568457123975168,andihiyat,@gnatnilafiys Iya banget,0,0,2023-02-03 17:57:02+00:00
25,1621568406926548992,andihiyat,@parasiteve99 Gua suka yang absolute 😋,0,0,2023-02-03 17:56:50+00:00
26,1621511302798770178,andihiyat,"Dateng ke orgsm day 2023 badan berasa abis mandi wangi banget udah siap kencan tapi sama siapa

Jadi gimana, lebih… https://t.co/48vyQHEnoY",4,182,2023-02-03 14:09:55+00:00
27,1621109793955143681,andihiyat,Moodbooster terbaik versi kalian apa,442,5962,2023-02-02 11:34:28+00:00
28,1621101590085242880,andihiyat,@wihboo Sikat,0,33,2023-02-02 11:01:52+00:00
29,1621024858946809857,andihiyat,Ada orang ngatur-ngatur standar kebahagiaan orang lain aja udah aneh,1212,4001,2023-02-02 05:56:58+00:00
30,1620819086044434433,andihiyat,"Ingat sakit
Ingat mati
Ingatlah saat kau falling in love with people we can't have",2395,11005,2023-02-01 16:19:18+00:00
31,1620758517245448193,andihiyat,"Ya tuhan, jauhkan aku dari pikiran-pikiran buruk yang belum tentu kejadian",4559,10583,2023-02-01 12:18:37+00:00
32,1620684493710581760,andihiyat,"Dikasih semangat mulu, dikasih duit 3 milyar kek sekali-kali",4123,11494,2023-02-01 07:24:28+00:00
33,1620643656574316544,andihiyat,Punya ngga lu temen yang orangnya pinter banget tapi gara-gara cinta jadi bego,1236,10435,2023-02-01 04:42:12+00:00
34,1620436263252942848,andihiyat,"""Kalo kita baik sama orang, orang pasti baik juga sama kita""

IS BULLSHIT",20716,43312,2023-01-31 14:58:06+00:00
35,1620026147974287361,andihiyat,"Obat cape terbaik:

- Tidur
- ""Udah ditransfer ya""",8787,18479,2023-01-30 11:48:26+00:00
36,1619683888791715840,andihiyat,"Kadang bukan orang lain yang mengecewakan, tapi ekspektasimu yang berlebihan.",3537,8294,2023-01-29 13:08:26+00:00
37,1619671139227418624,andihiyat,"@nianrlt Wulan guritno, yes",0,29,2023-01-29 12:17:46+00:00
38,1619671008696504323,andihiyat,@JetVeetlev Astagfirullah anjing bgt,3,253,2023-01-29 12:17:15+00:00
39,1619653835760504833,andihiyat,@vaniputeri Ehiya ya,0,1,2023-01-29 11:09:00+00:00
40,1619651422940983297,andihiyat,@renggapkrisna David https://t.co/JiLnwJo4yV,0,4,2023-01-29 10:59:25+00:00
41,1619650872308551680,andihiyat,@renggapkrisna 🙏,0,22,2023-01-29 10:57:14+00:00
42,1619650315598569472,andihiyat,@ardianpancaa Boong lu,4,78,2023-01-29 10:55:01+00:00
43,1619648946795868160,andihiyat,"Selama hidup kalian, pernah dibilang mirip sama siapa?",1066,12140,2023-01-29 10:49:35+00:00
44,1619647438951976960,andihiyat,@blvckitten Ku punya banyak banget buku agatha christie cetakan lama,3,65,2023-01-29 10:43:35+00:00
45,1619398334929842176,andihiyat,@sashymymahal Marah marah mulu,3,28,2023-01-28 18:13:44+00:00
46,1619392799165800449,andihiyat,Dunia terlalu kejam untuk orang yang ngga goodlooking,2254,6488,2023-01-28 17:51:44+00:00
47,1619389813463089154,andihiyat,@restanirmala Jadi weekend depan di jakarta? Oke,0,0,2023-01-28 17:39:52+00:00
48,1619386492169891845,andihiyat,@restanirmala Ok,1,23,2023-01-28 17:26:41+00:00
49,1619381955619065856,andihiyat,@mhdarieff_ Emang kalo ciuman harus pacaran dulu?,5,193,2023-01-28 17:08:39+00:00
50,1619381656040935425,andihiyat,@BonnySidharta Ngga pacaran tapi gas sana sini?,0,0,2023-01-28 17:07:28+00:00
51,1619381370597560320,andihiyat,@BonnySidharta Sama bg,0,11,2023-01-28 17:06:20+00:00
52,1619380934184415238,andihiyat,Enaknya pacaran apa sih?,393,3666,2023-01-28 17:04:36+00:00
53,1619378717092106240,andihiyat,"Biasain tangan lagi, dah lama ngga main gitar

Seneng banget ada mainan baru https://t.co/lFDCUbdFkD",6,216,2023-01-28 16:55:47+00:00
54,1619363685704830976,andihiyat,@luxyriz @sekenskuy Iya ya kayak di sekenskuy wkwkwkwkwk,0,10,2023-01-28 15:56:03+00:00
55,1619340514486288385,andihiyat,"Dipuji, tidak terbang
Dicaci, tidak tumbang
Diperhatiin dikit, langsung sayang",2030,7464,2023-01-28 14:23:59+00:00
56,1619283566449557505,andihiyat,Drop lagu yang akhir-akhir ini lagi sering kamu dengerin,1302,12002,2023-01-28 10:37:41+00:00
57,1619233349020811264,andihiyat,"Punya sifat jelek bukannya introspeksi diri malah suka berlindung di balik kalimat ""gua emang gini orangnya"" biar orang lain maklumin",1754,5276,2023-01-28 07:18:08+00:00
58,1619183795374268416,andihiyat,"Dulu: Kalo orang lain bisa, gua juga harus bisa!

Sekarang: Kalo orang lain bisa, yaudah congratsss",19147,29448,2023-01-28 04:01:14+00:00
59,1618947745884311554,andihiyat,"Sederhana aja, cuma pengen punya teman hidup yang menyenangkan dijadikan teman, dan menenangkan dijadikan pasangan hidup.",1134,3083,2023-01-27 12:23:15+00:00
60,1618946086479220742,andihiyat,"Strong, stress banget tolong",5166,12540,2023-01-27 12:16:40+00:00
