,id,username,text,retweet_count,like_count,created_at
0,1623974532573970435,Poconggg,"@seterahdeh Tolong kabari saya updatenya kalau ada tanggung jawab yang tidak dipenuhi oleh cuancuan, yaa. 

Akan sa… https://t.co/EDE0AdphAE",23,278,2023-02-10 09:17:55+00:00
1,1623974468879282178,Poconggg,"@seterahdeh Mengenai kasus ini sudah saya teruskan ke Leonardo selaku owner, untuk meminta pertanggung jawaban, dan… https://t.co/EMvgkfAudr",28,219,2023-02-10 09:17:40+00:00
2,1623974366932520960,Poconggg,"@seterahdeh Halo Firgiawan, sebelumnya I am very sorry to hear this. Denger berita seperti ini juga membuat saya ka… https://t.co/tOMMvBt9SI",68,622,2023-02-10 09:17:15+00:00
3,1615586497054539777,Poconggg,@jek___ Hmm.,8,222,2023-01-18 05:46:51+00:00
4,1613373111759691776,Poconggg,"RT @48timee: Buat kamu yang masih bimbang, mending gabung #TimPakeTangan karena:
1. Kita punya LED billboard ✅
2. Kita punya konten di JKT4…",60,0,2023-01-12 03:11:39+00:00
5,1611932409637011456,Poconggg,Kami #TimPakeTangan juga males kok temenan sama yang pakai sendok. https://t.co/hfcHkd4uiN,398,3975,2023-01-08 03:46:49+00:00
6,1605910991023362048,Poconggg,"Kalau ada temen yang badannya bau, bakal kalian tegur atau diemin aja sambil melarikan diri pelan2?",89,1129,2022-12-22 12:59:51+00:00
7,1590654898202640385,Poconggg,"Jadi! Gue tambahin 150 ribu, deh.👌🏻

Gih like tweet @sehatAQUA sekarang biar bisa dapet voucher makan Padang Payaku… https://t.co/8YiMoPDR7U",62,364,2022-11-10 10:37:35+00:00
8,1590292571489980416,Poconggg,"Mau tanya, siapa yang belum pernah nyobain Padang Payakumbuah?",38,312,2022-11-09 10:37:49+00:00
9,1587318432294309888,Poconggg,"RT @Poconggg: @raisa6690 Demi keberlangsungan dan keselamatan hidup gue, gue ikutan like. Kalian juga jangan lupa pada like, apalagi yang n…",9,0,2022-11-01 05:39:39+00:00
10,1586694097665826816,Poconggg,"@raisa6690 Demi keberlangsungan dan keselamatan hidup gue, gue ikutan like. Kalian juga jangan lupa pada like, apal… https://t.co/tI01Z5NRRA",9,106,2022-10-30 12:18:46+00:00
11,1585984558692184064,Poconggg,Pantesan kemarin gue hampir dibuang Tipang cuma gara-gara ngilangin taperwer. Ternyata ibu-ibu lagi pada mode hemat… https://t.co/PnRgCnIvU9,56,567,2022-10-28 13:19:19+00:00
12,1584837400601464833,Poconggg,"WhatsApp error-nya udahan kok, emang nggak ada yang chat aja itu.",1134,7878,2022-10-25 09:20:55+00:00
13,1583425740023791618,Poconggg,"Penyebaran informasi sekarang udah kayak kecepatan cahaya ya, cepet banget. Ini nunjukkin kalau transformasi digita… https://t.co/uU1fBKsncl",8,171,2022-10-21 11:51:29+00:00
14,1581260382219677696,Poconggg,"Buat kalian yang mau ikutan share momen ketika kalian nyebut “Alhamdulillah”, ikutin cara lengkapnya di bawah.👌🏻… https://t.co/b5jphtCo2x",4,39,2022-10-15 12:27:08+00:00
15,1581234979215855618,Poconggg,"Btw, gue mau bagi-bagi 150 ribu buat kalian yang udah pakai Jago Syariah dan ikutan share momen pas ngucapin “Alham… https://t.co/xIhj6jYKZ1",16,286,2022-10-15 10:46:11+00:00
16,1581212536011386881,Poconggg,Alhamdulillah itu ketika masih bisa berbagi walaupun tanggal udah nggak muda lagi..,295,2002,2022-10-15 09:17:00+00:00
17,1571679002146009088,Poconggg,"Ditantang #adubalap sama @m_marshel, kalau kalah gue harus follow akun dia. Kok bisa ya ada orang yang kepedean ban… https://t.co/QA6aCMgrkp",12,226,2022-09-19 01:54:09+00:00
18,1556917248841101312,Poconggg,Baru tau sekarang mantau saham di https://t.co/mT324OMJ6B lebih gampang daripada ngurus tamagotchi. Satu layar udah… https://t.co/LBxJiil5vo,10,199,2022-08-09 08:16:12+00:00
19,1552263317087211520,Poconggg,"Shoutout to @sillysocietynft for creating this masterpiece mashup! 

Luucuuuuu beneeeerrrrr https://t.co/FaJQPHKdA1",224,2306,2022-07-27 12:03:09+00:00
20,1546433665038942208,Poconggg,"Seru nih, 1.000 produk bareng JINISO! @Jinisoid 
Coba dipencet siapa tau beruntung👋🏼 
#JinisoEmangKeren… https://t.co/iiUkRRFtVn",13,204,2022-07-11 09:58:11+00:00
21,1543930260508778496,Poconggg,-... . .-.. .. / ... .- .... .- -- / -.. .- -. / .-. . -.- ... .- / -.. .- -. .- / -.. .. @indopremier ..- -.. .- .… https://t.co/5cbpWZyxr0,44,605,2022-07-04 12:10:33+00:00
22,1538716349887057920,Poconggg,"Info dong warga Twitter, Panti Asuhan anak sekitaran JABODETABEK?",44,617,2022-06-20 02:52:20+00:00
23,1537714835781103616,Poconggg,Mau bagi-bagi Golden Ticket juga ah ke warga Twitter. Ada yg mau? https://t.co/VEOQj1Woa9,475,5467,2022-06-17 08:32:40+00:00
24,1523488307241693186,Poconggg,"Pagi pertama setelah libur lebaran dimulai dengan follow @sillysocietynft. Siapa tau bisa dapet WL, kan..",20,334,2022-05-09 02:21:32+00:00
25,1523487555999920130,Poconggg,"RT @sillysocietynft: 🔥 WL GIVEAWAY 🔥
wen fish say ""MEOOOW"" 🐟🐈
reach this tweet
3 WL to grab 
!LEMOW
ENDS IN 172.000 sec 

#NFTGiveaways #NF…",84,0,2022-05-09 02:18:33+00:00
26,1522759439849115648,Poconggg,"Dipikir2 Ibu ini kasian memang. Suaminya meninggal, adeknya meninggal, akhirnya mesti hidup sebatang kara. Sekaliny… https://t.co/gWrjE3z8TD",53,994,2022-05-07 02:05:16+00:00
27,1522406081443811328,Poconggg,"Ada ibu pengin ketemu anaknya, sampai nyusahin semua orang.",2443,33119,2022-05-06 02:41:09+00:00
28,1519879690827501569,Poconggg,Liat deh: https://t.co/QEzpGcmSUN,18,264,2022-04-29 03:22:10+00:00
29,1518889514236014593,Poconggg,"Nah, yang udah pada LIKE dan reply pake bukti skrinsutannnya, siap-siap di tab mention ya!

Kalo reply kalian di LI… https://t.co/IALxs8GxcV",93,745,2022-04-26 09:47:34+00:00
30,1518596697550913537,Poconggg,"RT @sehatAQUA: @Poconggg @anyaselalubenar @BudeSumiyati Kalo pengen diingetin minum air putih dulu mah gampang, tinggal LIKE tweet aku di l…",46,0,2022-04-25 14:24:01+00:00
31,1518596650364977157,Poconggg,"Oke jadiin nih ya @SEHATAQUA
 
Gimana kalo kita bagi-bagi THR voucher Gopay 300rb buat 100 orang, + hadiah dari… https://t.co/w19gWbmAGH",321,1385,2022-04-25 14:23:50+00:00
32,1518545200054140929,Poconggg,Yang makan es teler cuma ngincer nangkanya doang mending gausah ditemenin lah.,1001,14315,2022-04-25 10:59:23+00:00
33,1518538537007673344,Poconggg,Dua bidadari timeline mau ikutan kasih hadiah. Gas nggak nih? @anyaselalubenar @budesumiyati https://t.co/nw1g4ja5I6,4,166,2022-04-25 10:32:54+00:00
34,1518491716864540672,Poconggg,"Tenggorokan nggak enak banget nih, gara-gara tadi sahur di jalan pas roadtrip lupa banget harusnya minum air putih… https://t.co/OWsrVi6Axz",134,2414,2022-04-25 07:26:52+00:00
35,1515627473228414978,Poconggg,"@shitlicious @omeshomesh @jek___ @dimasmairyan Hmmm. @dimasmairyan dim, kita adu sama @radenrauf lucu nih.",8,156,2022-04-17 09:45:23+00:00
36,1515572341773725696,Poconggg,"@jek___ DM nomer hp, yaa. Dari kmrn mentionnya kelewat terus, soalnya nggak masuk ke tab verified.",31,1336,2022-04-17 06:06:18+00:00
37,1515543267840266241,Poconggg,"RT @febrianppkw: @Poconggg Suruh ambil sendiri dan dipisah-pisah sparepartnya bang, biar rakit sendiri aja",164,0,2022-04-17 04:10:47+00:00
38,1515542940944601090,Poconggg,RT @pedangkeramat: @Poconggg dilelang aja buat amal bg,7,0,2022-04-17 04:09:29+00:00
39,1515542925043957763,Poconggg,"RT @usamahbalfaqih: @Poconggg Suruh ambil sendiri jangan diisiin bensin bang, biar dia bawa bensin pake plastik.",14,0,2022-04-17 04:09:25+00:00
40,1515542861873561600,Poconggg,"RT @akewsetiawan: @Poconggg Harusnya vote yg paling rendah yg menang bang , biar alit tetap menang",6,0,2022-04-17 04:09:10+00:00
41,1515541945745276937,Poconggg,Tolong tanyain Stang Jek Vespanya mau dikirim apa dia ambil sendiri ke Tambun.,325,9358,2022-04-17 04:05:31+00:00
42,1515308610930192389,Poconggg,Vote di sini. https://t.co/eX6zudEyfH,32,761,2022-04-16 12:38:20+00:00
43,1515308082171023360,Poconggg,5% lagi @jek___ akan gigit jari. @shitlicious : https://t.co/5S7QtvqEWz,9,244,2022-04-16 12:36:14+00:00
44,1515289185430966276,Poconggg,Makin seru. @jek___ kesusul 1% lagi. Total udah disusul oleh @shitlicious sebanyak 4%! https://t.co/5IXV5TEvrX,8,235,2022-04-16 11:21:09+00:00
45,1515272706681622534,Poconggg,"Oke. @shitlicious naik lagi 1%, @jek___ turun 1%. Sisa selisih: 7% Sisa waktu vote: 4 jam. https://t.co/JyLrqdHxZL",8,250,2022-04-16 10:15:40+00:00
46,1515260201930485760,Poconggg,"Perlahan tapi pasti, @shitlicious naik lagi 1%, dan @jek___ turun 1%. Ada apa ini… https://t.co/DpDutVjLUl",4,242,2022-04-16 09:25:58+00:00
47,1515256985566212097,Poconggg,"Setelah tweet black campaign @shitlicious tentang jejak digital @jek___, votenya alit naik dan votenya jek turun 1%… https://t.co/QMbGdraaXv",6,213,2022-04-16 09:13:12+00:00
48,1515252214561792000,Poconggg,Wah.. jejak digital.. https://t.co/lTK4FAcCRt,1233,9588,2022-04-16 08:54:14+00:00
49,1515239594719334403,Poconggg,Semua orang berhak untuk kesempatan kedua. Kasian Ustad Jek.. Coba kali ini kita liat amal kebaikan @jek___ dan… https://t.co/uO3AbbZ9Qu,139,1060,2022-04-16 08:04:05+00:00
50,1515232190350913538,Poconggg,Yah.. maaf ya @jek___.. 🙏🏼 https://t.co/SoZKIWVV66,17,477,2022-04-16 07:34:40+00:00
51,1515231432884785154,Poconggg,Sisa 1 menit.. amal ibadah Jek dipertaruhkan.. https://t.co/wxhHDkvXgB,8,366,2022-04-16 07:31:39+00:00
52,1515224198511493123,Poconggg,Luar biasa black campaign @shitlicious ke @jek___. Apa kita adu aja ya kayak cupang? https://t.co/8DkDWn9XYy,84,1321,2022-04-16 07:02:55+00:00
53,1515214436382158853,Poconggg,Sudah 1 jam dan 25.000 orang yang ngevote. Hmm.. menarik juga hasilnya.,6,452,2022-04-16 06:24:07+00:00
54,1515202202658557954,Poconggg,"Gue nggak kenal @jek___ dan nggak punya nomor hpnya. Siapapun yg kenal sama beliau, tolong kasih tau kalau pollingn… https://t.co/5CYGu1IQNP",24,832,2022-04-16 05:35:30+00:00
