created_at,default_profile,description,favourites_count,followers_count,friends_count,id,location,screen_name,statuses_count,verified,account_age_days,account_type
2014-06-10 13:48:21,True,Cosplay master. Unicorn. Waiting you at https://t.co/YlP1D4EbFc,491,0,0,2559057222,unknown,lavenderr90,116,False,2261,bot
2010-03-03 05:34:58,True,,1390,16,22,119284832,unknown,sherrik2326384,2033,False,3822,bot
2009-01-28 17:30:10,True,The official Twitter account for San Antonio College. Managed and updated by the SAC Public Relations Team.,1444,8789,721,19663518,"San Antonio, TX",SAC_PR,6026,False,4220,human
2009-09-09 15:32:48,False,The Panda’s Friend,6013,649266,898,72878707,"Los Angeles, CA",MettaWorld37,7224,False,3996,human
2009-03-10 14:16:09,False,"I've wrestled for the #WWE, I'm an #ECW Original & member of the #bWo and J.O.B Squad!!!

Go to the @MindOfTheMeanie podcast https://t.co/vOi7cgnqCE",66356,62501,3390,23595924,"Philadelphia, PA",BlueMeanieBWO,68308,True,4179,human
2010-08-02 12:06:24,False,"A Eterna Bailarina e a Futura Médica  -Never a failure, always a lesson! ❤️",3393,515,260,173807264,JP ♔ ,AdryaSarmento,22189,False,3669,bot
2013-02-05 08:00:27,True,Cosplayer \\ Dogs lover. Waiting you at https://t.co/YJbl3t0d06,128,8,102,1150295048,unknown,jinyang930906,39,False,2752,bot
2007-02-23 20:25:05,False,"hydration, hot sauce, having a bant. she/her. 🦢",48681,1501,488,791449,60609,solarpowerspork,223637,False,4925,bot
2012-11-04 23:46:15,True,billygoat,3031,193,322,926425458,unknown,dakoko25,7656,False,2844,bot
2011-06-13 00:55:51,True,"Stake - Profit - Repeat.

Top holding: $COMP #808Coin $SBIT $DVRS $PAYP",1393,7636,3732,316147373,Blockchain Network,ProgrediMan,5319,False,3355,human
2009-03-26 13:08:22,True,Founder https://t.co/F1in2szDMC ESPN 710 LA 7-10 pm. https://t.co/rNGNw4oeA3 on 1090 SD 3-6 pm. NFL WW1 reporter  PITT football 88-92 Ironman Kona '10,64338,17586,3108,26744624,Southern California ,ScottKaplan,36496,True,4163,human
2013-04-24 02:57:55,True,,1530,3,39,1376003718,unknown,super_wangyu,2356,False,2674,bot
2009-05-12 20:32:10,False,Photographer. Director. Author. https://t.co/tzgKNd16c1 @NikonUSA Ambassador,8664,281968,1381,39588492,"New York, NY",JoeMcNallyPhoto,10532,False,4116,human
